diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
EFO_0005422	skin aging	CHEMBL3707359	DAXIBOTULINUMTOXINA	Unknown	Synaptosomal nerve-associated protein 25 (SNAP-25) inhibitor	Inhibitor	SNAP25	synaptosome associated protein 25	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761127s000lbl.pdf
EFO_0005422	skin aging	CHEMBL4297229	PRABOTULINUMTOXIN A	Unknown	Synaptosomal-associated protein 25 proteolytic enzyme	Inhibitor	SNAP25	synaptosome associated protein 25	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761085s000lbl.pdf
EFO_0005422	skin aging	CHEMBL4297862	BOTULINUM TOXIN TYPE A	Protein	Synaptosomal nerve-associated protein 25 (SNAP-25) hydrolytic enzyme	Inhibitor	SNAP25	synaptosome associated protein 25	4		https://www.ema.europa.eu/en/medicines/human/EPAR/nuceiva
EFO_0005422	skin aging	CHEMBL1201574	ONABOTULINUMTOXINA	Unknown	Synaptosomal-associated protein 25 inhibitor	Inhibitor	SNAP25	synaptosome associated protein 25	3	Completed	https://clinicaltrials.gov/study/NCT00986570,https://clinicaltrials.gov/study/NCT01791920,https://clinicaltrials.gov/study/NCT01237977,https://clinicaltrials.gov/study/NCT01776606,https://clinicaltrials.gov/study/NCT02580370
EFO_0005422	skin aging	CHEMBL4297862	BOTULINUM TOXIN TYPE A	Protein	Synaptosomal nerve-associated protein 25 (SNAP-25) hydrolytic enzyme	Inhibitor	SNAP25	synaptosome associated protein 25	3	Completed	https://clinicaltrials.gov/study/NCT01237977
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	3	Recruiting	https://clinicaltrials.gov/study/NCT04264897
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	3	Recruiting	https://clinicaltrials.gov/study/NCT04264897
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	3	Recruiting	https://clinicaltrials.gov/study/NCT04264897
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7	3	Recruiting	https://clinicaltrials.gov/study/NCT04264897
EFO_0022597	aging	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	3	Recruiting	https://clinicaltrials.gov/study/NCT04264897
