gene,geneid,pm_ld_aging,pm_pleio3_aging,pm_pleio5_aging,pm_pleio10_aging,pn_ld_aging,pn_pleio3_aging,pn_pleio5_aging,pn_pleio10_aging
A1BG,1,3.51347024027238,Low pleiotropy,1st,2,0.780753300011043,Low pleiotropy,1st,1
A1CF,29974,4.5245741135534,Intermediate pleiotropy,4th,7,3.30741626841254,High pleiotropy,5th,10
A4GALT,53947,4.67675548545519,Intermediate pleiotropy,4th,8,1.60836001952487,Intermediate pleiotropy,2nd,3
A4GNT,51146,3.90920496762934,Intermediate pleiotropy,2nd,4,1.58074926660621,Low pleiotropy,1st,2
AAAS,8086,1.70925660823854,Low pleiotropy,1st,1,0,Low pleiotropy,1st,1
AACS,65985,4.22045302858404,Intermediate pleiotropy,3rd,5,2.44161177883474,Intermediate pleiotropy,4th,7
AADAC,13,3.55191184727519,Low pleiotropy,1st,2,0.756774058295001,Low pleiotropy,1st,1
AADACL2,344752,3.7098133396022,Low pleiotropy,1st,2,1.60029299415461,Intermediate pleiotropy,2nd,3
AADACL3,126767,4.78029629356547,Intermediate pleiotropy,4th,8,2.47193266729536,Intermediate pleiotropy,4th,8
AADACL4,343066,4.30590466480248,Intermediate pleiotropy,3rd,6,1.65938779894753,Intermediate pleiotropy,3rd,5
AADAT,51166,3.90242397147207,Intermediate pleiotropy,2nd,3,2.44212117633375,Intermediate pleiotropy,4th,7
AAED1,195827,2.72590134341393,Low pleiotropy,1st,1,0,Low pleiotropy,1st,1
AAGAB,79719,4.62319919306212,Intermediate pleiotropy,4th,8,2.38787503759707,Intermediate pleiotropy,3rd,6
AAK1,22848,3.85217420133735,Intermediate pleiotropy,2nd,3,2.39891570021097,Intermediate pleiotropy,3rd,6
AAMDC,28971,5.3758612061977,High pleiotropy,5th,10,3.92521870763447,High pleiotropy,5th,10
AAMP,14,3.42717794081957,Low pleiotropy,1st,1,1.54959796632405,Low pleiotropy,1st,2
AANAT,15,4.32992931636402,Intermediate pleiotropy,3rd,6,3.27973861305737,High pleiotropy,5th,9
AAR2,25980,3.86872350796687,Intermediate pleiotropy,2nd,3,1.56161986467336,Low pleiotropy,1st,2
AARD,441376,4.53941891129958,Intermediate pleiotropy,4th,7,2.48128022877488,Intermediate pleiotropy,4th,8
AARS,16,7.60834299777716,High pleiotropy,5th,10,2.43770326807045,Intermediate pleiotropy,4th,7
AARS2,57505,4.58216801304931,Intermediate pleiotropy,4th,8,2.47002946903582,Intermediate pleiotropy,4th,8
AARSD1,80755,5.89397007400735,High pleiotropy,5th,10,0.734704470336767,Low pleiotropy,1st,1
AASDH,132949,4.21015289768114,Intermediate pleiotropy,3rd,5,2.44605140104673,Intermediate pleiotropy,4th,7
AASDHPPT,60496,3.33019578195764,Low pleiotropy,1st,1,0.792988229802919,Low pleiotropy,1st,1
AASS,10157,4.47135687731547,Intermediate pleiotropy,4th,7,2.37679857631101,Intermediate pleiotropy,3rd,6
AATF,26574,3.41724806376246,Low pleiotropy,1st,1,1.62280331658491,Intermediate pleiotropy,2nd,3
AATK,9625,4.50779517526555,Intermediate pleiotropy,4th,7,2.47524785908327,Intermediate pleiotropy,4th,8
ABAT,18,3.9683198501924,Intermediate pleiotropy,2nd,4,1.65012826698973,Intermediate pleiotropy,3rd,5
