gene,pn_ld_corrected,pn_ld_class5_corrected,pm_ld_corrected,pm_ld_class5_corrected,pn_ld_mafbin1,pn_ld_class5_mafbin1,pm_ld_mafbin1,pm_ld_class5_mafbin1,pn_ld_mafbin2,pn_ld_class5_mafbin2,pm_ld_mafbin2,pm_ld_class5_mafbin2,pn_ld_mafbin3,pn_ld_class5_mafbin3,pm_ld_mafbin3,pm_ld_class5_mafbin3,pn_ld_pnadjust,pn_ld_class5_pnadjust,pm_ld_pnadjust,pm_ld_class5_pnadjust,pn_ld_polygenicity,pn_ld_class5_polygenicity,pm_ld_polygenicity,pm_ld_class5_polygenicity,pn_ld_traitcut,pn_ld_class5_traitcut,pm_ld_traitcut,pm_ld_class5_traitcut,pn_ld_repro,pn_ld_class5_repro,pm_ld_repro,pm_ld_class5_repro,pn_ld_raw,pn_ld_class5_raw,pm_ld_raw,pm_ld_class5_raw,gene_age_num
A1BG,33.7733289809211,2nd,12.7054618095693,2nd,6.27992795620952,2nd,5.36439278123179,1st,,,,,6.88278531231084,1st,5.74770003357145,2nd,0.730196333672295,3rd,5.84363425338926,1st,4.3010752688172,1st,5.1207044222636,1st,12.1008995753383,2nd,9.59681089313334,2nd,,,,,6.88278531231084,1st,5.74770003357145,1st,382
A1CF,39.9857890219103,3rd,13.6039214444522,3rd,9.38016783804776,5th,5.92423001415674,5th,10.5427132315275,5th,6.35161375471605,4th,9.48044982514235,3rd,6.23495889689281,3rd,0.987487620714515,4th,6.46252198217012,3rd,6.98924731182796,4th,5.47365560651707,3rd,16.5345084055377,4th,10.5893336163032,3rd,27.0445630452165,4th,42.579491619855,3rd,10.5427132315275,4th,6.35161375471605,4th,544
A3GALT2,17.1368969511546,1st,8.64439241366936,1st,,,,,10.1844804299835,4th,6.38264074098676,4th,12.5453083455079,5th,7.14861091693412,5th,1.71185146746383,5th,7.3007471510856,5th,8.60215053763441,5th,5.62547348078387,5th,17.4142917892329,5th,13.5742985025723,5th,37.2525285823999,5th,76.9168099317217,5th,12.5453083455079,5th,7.14861091693412,5th,132
A4GALT,57.3274542283472,4th,18.4381333564422,4th,8.64978865433287,5th,6.03374199254964,5th,7.39981636666435,2nd,6.0253784787285,3rd,9.12220967121162,3rd,7.74365773114112,5th,1.765519420351,5th,7.8271090960074,5th,6.45161290322581,3rd,5.6673861522277,5th,13.7531437457329,3rd,15.124284273433,5th,16.0581754696521,2nd,44.9110314371836,4th,9.12220967121162,3rd,7.74365773114112,5th,424
A4GNT,6.4615073801683,1st,5.6376358930068,1st,,,,,,,,,9.17078278113092,3rd,5.73354716400646,2nd,0.398494979274844,2nd,5.77903249114818,1st,5.91397849462366,2nd,5.07294771579304,1st,11.7242712129744,2nd,9.04817961868093,1st,21.6867168326043,3rd,36.1286753905197,2nd,9.17078278113092,3rd,5.73354716400646,1st,544
AAAS,62.5533401887688,5th,22.8329872117524,5th,6.96358417431058,3rd,5.7655759899285,4th,,,,,9.00014896944902,3rd,6.07290486463383,3rd,0.751333921129215,3rd,6.17958934823848,3rd,5.64516129032258,2nd,5.34311338311651,3rd,12.2029110192477,2nd,10.4065417697589,3rd,15.1416355369083,1st,30.9673193811783,1st,9.00014896944902,3rd,6.07290486463383,3rd,1064
AACS,54.0158063131547,4th,20.1118538926971,4th,5.51042375031025,1st,5.58673889368165,3rd,7.41246453758678,2nd,5.71027259028733,2nd,7.85823927373863,2nd,5.8523985092112,2nd,0.708386146269234,3rd,5.98269431001549,2nd,5.37634408602151,2nd,5.21900235937207,2nd,11.3397070458634,2nd,9.9857225665393,2nd,32.2629465483235,5th,49.5875780552168,4th,7.85823927373863,1st,5.8523985092112,2nd,1292
AADAC,9.50981620605748,1st,6.20085525949663,1st,,,,,7.38390232381855,2nd,5.56244721955961,1st,3.67777590496078,1st,5.13799705381922,1st,0.137705580782537,1st,5.64662703435283,1st,4.83870967741936,1st,4.97195010996721,1st,8.40358527374794,1st,8.68438102002895,1st,4.62830013575875,1st,21.4320761879423,1st,7.38390232381855,1st,5.56244721955961,1st,950
AADACL2,57.423194999302,4th,22.8877441402235,5th,6.07635391265365,2nd,5.3400812728614,1st,7.73732416337358,2nd,5.35690716153154,1st,6.96617636404236,1st,5.48058922284231,1st,0.421028063687465,2nd,5.63064084089822,1st,5.37634408602151,2nd,4.95950398449324,1st,8.91324862775046,1st,8.87532836254654,1st,20.9501777170116,3rd,30.6722901212427,1st,7.73732416337358,1st,5.48058922284231,1st,332
AADACL3,31.8061119825071,2nd,10.8539028308132,2nd,4.91221160292631,1st,5.36380533257822,1st,8.94999768372378,3rd,5.64719633301492,1st,5.13898707004499,1st,5.17498107118031,1st,0,1st,5.73045174284369,1st,5.37634408602151,2nd,5.03634404776397,1st,10.5996404821043,2nd,9.15606109387879,1st,16.1002412872997,2nd,27.7475742267791,1st,8.94999768372378,3rd,5.64719633301492,1st,332
