filename,description
Human_pooled_domains.bed,Human_pooled_domains
Pooled_loop_anchors.bed,Pooled_loop_anchors
Dixon_hESC_Domain.bed,Dixon_hESC_Domain
Dixon_IMR90_Domain.bed,Dixon_IMR90_Domain
Rao_GM12878_Domain.bed,Rao_GM12878_Domain
Rao_HeLa_Domain.bed,Rao_HeLa_Domain
Rao_HMEC_Domain.bed,Rao_HMEC_Domain
Rao_HUVEC_Domain.bed,Rao_HUVEC_Domain
Rao_IMR90_Domain.bed,Rao_IMR90_Domain
Rao_K562_Domain.bed,Rao_K562_Domain
Rao_KBM7_Domain.bed,Rao_KBM7_Domain
Rao_NHEK_Domain.bed,Rao_NHEK_Domain
Rao_GM12878_Loop_anchor.bed,Rao_GM12878_Loop_anchor
Rao_HeLa_Loop_anchor.bed,Rao_HeLa_Loop_anchor
Rao_HMEC_Loop_anchor.bed,Rao_HMEC_Loop_anchor
Rao_HUVEC_Loop_anchor.bed,Rao_HUVEC_Loop_anchor
Rao_IMR90_Loop_anchor.bed,Rao_IMR90_Loop_anchor
Rao_K562_Loop_anchor.bed,Rao_K562_Loop_anchor
Rao_KBM7_Loop_anchor.bed,Rao_KBM7_Loop_anchor
Rao_NHEK_Loop_anchor.bed,Rao_NHEK_Loop_anchor
