userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	4	ATAC_peaks	0	0.301750179211116	780	12	22	12	22	15.3	8609	1045	3480	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1	47203
1	1	ATAC_peaks	0	0.293299123246081	776	12	23	13	23	16	8657	1049	3432	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1	85631
1	5	ATAC_peaks	0	0.24530433039835	1098	12	29	8	29	16.3	10400	727	1689	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	1	127090
1	3	ATAC_peaks	0	0.249233854170591	769	12	27	15	27	18	9007	1056	3082	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	1	68236
1	2	ATAC_peaks	0	0.243512334550518	774	12	30	14	30	18.7	9085	1051	3004	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	1	48574
2	2	ATAC_peaks	145.183804026952	4.02239861456965	9172	1	1	8	8	3.33	687	3116	939	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	2.03028808950773e-144	48574
2	3	ATAC_peaks	134.895447545698	3.81489755649106	9083	2	4	10	10	5.33	693	3205	933	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	2.62919555320721e-134	68236
2	5	ATAC_peaks	117.085109695587	3.92937371220639	10519	3	3	4	4	3.33	979	1769	647	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	1.27415423653054e-116	127090
2	1	ATAC_peaks	102.995906557092	3.19312486791838	8727	5	10	11	11	8.67	706	3561	920	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1.04311906255873e-102	85631
2	4	ATAC_peaks	99.1238510555154	3.12026465477224	8681	6	11	12	12	9.67	708	3607	918	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	6.65951488499442e-99	47203
