userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	31	subcompartment	150.918414567035	34.8891132656233	223	1	1	23	23	8.33	48	1602	12041	Subcompartment_B4	NA	NA	NA	NA	NA	compartment_B4.bed	7.48130089868184e-150	25
1	28	subcompartment	31.6409849366165	2.18626501162007	405	2	3	19	19	8	1395	1420	10694	Subcompartment_B1	NA	NA	NA	NA	NA	compartment_B1.bed	7.08560204834064e-32	896
1	29	subcompartment	20.5077754549107	2.4118664652306	193	3	2	25	25	10	565	1632	11524	Subcompartment_B2	NA	NA	NA	NA	NA	compartment_B2.bed	8.37314088379355e-21	504
1	7	McCole_3d_data	4.26413101438031	1.4520403195039	1704	4	4	2	4	3.33	10959	121	1130	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	0.000112496606085613	1301
1	30	subcompartment	0.0000806901308788428	0.728919294606583	140	5	7	29	29	13.7	1237	1685	10852	Subcompartment_B3	NA	NA	NA	NA	NA	compartment_B3.bed	1	685
1	8	McCole_3d_data	0.00000700878776392107	0.283190682502991	1807	6	25	1	25	10.7	12055	18	34	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	1	293
1	20	McCole_3d_data	0.000000846658397498644	0.765689342968636	1339	7	6	4	7	5.67	9460	486	2629	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	1	3167
1	16	McCole_3d_data	0.000000227569454368426	0.780774392305481	1023	8	5	9	9	7.33	7499	802	4590	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	1	3481
1	6	McCole_3d_data	4.87884123835642e-11	0.604332175606619	1586	9	10	3	10	7.33	11080	239	1009	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
1	14	McCole_3d_data	1.99853492301634e-11	0.719508851707612	1012	10	8	10	10	9.33	7661	813	4428	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	1	3385
1	24	McCole_3d_data	2.63449442225824e-12	0.708741219228433	1006	11	9	11	11	10.3	7666	819	4423	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	1	4835
1	18	McCole_3d_data	0	0.552214676539611	1330	12	12	5	12	9.67	10028	495	2061	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	1	3810
1	22	McCole_3d_data	0	0.581835710845274	1141	12	11	7	12	10	8963	684	3126	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	1	3269
1	10	McCole_3d_data	0	0.364960684096489	1247	12	15	6	15	11	10340	578	1749	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	1	4533
1	12	McCole_3d_data	0	0.471184571844441	679	12	14	16	16	14	6734	1146	5355	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	1	3567
1	26	subcompartment	0	0.546231459330883	646	12	13	17	17	14	6054	1179	6035	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	1	490
1	4	ATAC_peaks	0	0.301750179211116	780	12	22	12	22	15.3	8609	1045	3480	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1	47203
1	1	ATAC_peaks	0	0.293299123246081	776	12	23	13	23	16	8657	1049	3432	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1	85631
1	5	ATAC_peaks	0	0.24530433039835	1098	12	29	8	29	16.3	10400	727	1689	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	1	127090
1	11	McCole_3d_data	0	0.331280417171529	277	12	18	20	20	16.7	4240	1548	7849	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	1	12903
