userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	7	McCole_3d_data	2.49917041772193	1.39244324783395	1624	4	4	2	4	3.33	2322	112	223	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	0.00654786952688627	1301
1	8	McCole_3d_data	0.00233375925884071	0.398971430303636	1719	5	15	1	15	7	2535	17	10	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	1	293
1	6	McCole_3d_data	0.0000415894183942221	0.697563621354022	1506	6	9	3	9	6	2300	230	245	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
1	20	McCole_3d_data	0.0000231736327544474	0.757763321896533	1265	7	5	4	7	5.33	1985	471	560	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	1	3167
1	16	McCole_3d_data	0.000000750114676041664	0.745501261402079	991	8	6	9	9	7.67	1631	745	914	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	1	3481
1	14	McCole_3d_data	0.0000000430861739794892	0.720781559759401	957	10	7	11	11	9.33	1604	779	941	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	1	3385
1	22	McCole_3d_data	2.91226894899102e-14	0.61219822402904	1079	11	10	7	11	9.33	1854	657	691	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	1	3269
1	24	McCole_3d_data	1.92865493310657e-16	0.598570706445671	966	13	11	10	13	11.3	1723	770	822	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	1	4835
1	18	McCole_3d_data	0	0.457838153965077	1257	14	14	5	14	11	2167	479	378	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	1	3810
1	10	McCole_3d_data	0	0.373411322486488	1175	14	16	6	16	12	2160	561	385	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	1	4533
1	12	McCole_3d_data	0	0.496020669344769	645	14	12	16	16	14	1384	1091	1161	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	1	3567
1	21	McCole_3d_data	0	0.333814622519742	230	14	18	22	22	18	799	1506	1746	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1	8436
1	9	McCole_3d_data	0	0.298683247426029	553	14	23	18	23	18.3	1553	1183	992	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	1	18331
1	11	McCole_3d_data	0	0.315930402509544	271	14	22	20	22	18.7	940	1465	1605	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	1	12903
1	13	McCole_3d_data	0	0.333209458009378	184	14	19	26	26	19.7	668	1552	1877	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	1	8202
1	17	McCole_3d_data	0	0.320373881859643	134	14	21	30	30	21.7	527	1602	2018	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	1	5020
1	19	McCole_3d_data	0	0.25563391985401	205	14	28	24	28	22	875	1531	1670	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	1	11459
1	15	McCole_3d_data	0	0.264870242285355	144	14	26	29	29	23	648	1592	1897	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	1	6161
1	23	McCole_3d_data	0	0.28449483025403	102	14	24	31	31	23	458	1634	2087	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	1	4279
1	25	McCole_3d_data	0	0.247541309259817	145	14	30	28	30	24	685	1591	1860	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	1	7435
2	9	McCole_3d_data	76.8657779825938	3.31682496921717	1576	4	8	16	16	9.33	530	1028	1147	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	2.11131831740228e-76	18331
2	19	McCole_3d_data	64.2232955432515	3.88234489495833	884	6	4	20	20	10	196	1720	1481	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	5.29661134267085e-64	11459
2	25	McCole_3d_data	54.3892892808277	4.07520245631913	693	7	2	23	23	10.7	137	1911	1540	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	3.07760375751251e-54	7435
2	15	McCole_3d_data	49.5029915001918	3.89252871796534	658	9	3	25	25	12.3	134	1946	1543	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	1.94715349860663e-49	6161
2	11	McCole_3d_data	49.4021418081862	3.02081176701283	945	10	13	19	19	14	266	1659	1411	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	2.23283790479777e-49	12903
2	21	McCole_3d_data	40.9664904035339	2.9018913557827	805	12	14	22	22	16	224	1799	1453	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	5.15178741265237e-41	8436
2	13	McCole_3d_data	37.8538852898306	3.04004276194059	678	13	12	24	24	16.3	174	1926	1503	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	6.19980976758748e-38	8202
2	10	McCole_3d_data	35.2715758724246	2.54173701326292	2196	14	17	6	17	12.3	1139	408	538	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	2.2116915466523e-35	4533
2	23	McCole_3d_data	32.7067356994576	3.56957923166702	464	15	6	27	27	16	96	2140	1581	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	7.61265252942629e-33	4279
2	17	McCole_3d_data	31.5720435776979	3.1138892591248	533	16	10	26	26	17.3	128	2071	1549	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	9.7701040840585e-32	5020
2	12	McCole_3d_data	29.1510653720023	2.05154533750166	1414	17	20	17	20	18	615	1190	1062	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	2.4325053963392e-29	3567
2	18	McCole_3d_data	24.0328356067393	2.20375071479946	2215	18	19	5	19	14	1209	389	468	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	3.02553709346584e-24	3810
2	24	McCole_3d_data	15.2091085092628	1.67885365727391	1760	20	21	13	21	18	929	844	748	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	1.74124747401957e-15	4835
2	22	McCole_3d_data	14.0937009475187	1.67488494139997	1899	21	22	10	22	17.7	1034	705	643	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	2.17251561164665e-14	3269
2	14	McCole_3d_data	6.58742750159221	1.37943720209657	1637	23	25	15	25	21	924	967	753	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	0.000000616581996882537	3385
2	16	McCole_3d_data	5.79857758382989	1.35042277989104	1668	24	26	14	26	21.3	954	936	723	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	0.00000365132374573135	3481
