userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	515	roadmap_epigenomics	29.1715847660302	2.14690993808502	686	1	3	722	722	242	590	1077	1989	roadmap_epigenomics H3K9me3	NA	NA	H3K9me3	NA	NA	E056-H3K9me3.narrowPeak	1.73702804711537e-29	314736
1	1114	ucsc_features	21.1071840708508	2.01688921959421	526	2	4	966	966	324	449	1237	2130	UCSC Genomic superdups	NA	NA	NA	NA	NA	genomicSuperDups.bed	1.96946368403751e-21	49852
1	1099	roadmap_epigenomics	20.7853773175178	2.3882059599925	329	3	1	1080	1080	361	226	1434	2353	roadmap_epigenomics H3K9me3	NA	NA	H3K9me3	NA	NA	E128-H3K9me3.narrowPeak	4.12731465963319e-21	16125
1	1025	roadmap_epigenomics	16.5747452649917	1.88505800941102	478	4	5	1011	1011	340	425	1285	2154	roadmap_epigenomics H3K9me3	NA	NA	H3K9me3	NA	NA	E122-H3K9me3.narrowPeak	6.65127332899177e-17	224772
1	506	roadmap_epigenomics	12.5633506772998	1.57020048910645	887	5	7	325	325	112	1011	876	1568	roadmap_epigenomics H3K9me3	NA	NA	H3K9me3	NA	NA	E055-H3K9me3.narrowPeak	6.70137005919612e-13	439063
1	1074	roadmap_epigenomics	7.94510675205322	1.66954520961405	289	6	6	1095	1095	369	271	1474	2308	roadmap_epigenomics H3K9me3	NA	NA	H3K9me3	NA	NA	E126-H3K9me3.narrowPeak	0.0000000271128484332096	12150
1	1116	ucsc_features	5.84043222175807	1.39027880506638	526	7	8	966	966	327	604	1237	1975	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	0.00000339605064788223	1296
1	538	roadmap_epigenomics	4.66765679278802	1.31459008376538	613	8	10	859	859	292	744	1150	1835	roadmap_epigenomics H3K9me3	NA	NA	H3K9me3	NA	NA	E059-H3K9me3.narrowPeak	0.0000498229205963671	85196
1	1000	roadmap_epigenomics	3.87714718043872	1.33983356922238	367	9	9	1073	1073	364	423	1396	2156	roadmap_epigenomics H3K9me3	NA	NA	H3K9me3	NA	NA	E120-H3K9me3.narrowPeak	0.000304424695062805	18061
1	324	roadmap_epigenomics	2.75102670917656	1.23294022212397	482	10	11	1008	1008	343	603	1281	1976	roadmap_epigenomics H3K9me3	NA	NA	H3K9me3	NA	NA	E028-H3K9me3.narrowPeak	0.00401671826007188	192863
1	877	roadmap_epigenomics	2.37808747068014	1.18578873285403	693	11	15	718	718	248	911	1070	1668	roadmap_epigenomics H3K9me3	NA	NA	H3K9me3	NA	NA	E107-H3K9me3.narrowPeak	0.00943250671253109	110622
