userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	3	ATAC_peaks	7.62583812327493e-09	0.710018770172314	1013	20	18	12	20	16.7	1451	887	902	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	1	68236
1	1	ATAC_peaks	1.90741079906029e-11	0.668655255595798	982	22	19	13	22	18	1448	918	905	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1	85631
1	5	ATAC_peaks	0	0.559161817818111	1250	27	26	7	27	20	1823	650	530	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	1	127090
1	4	ATAC_peaks	0	0.496495543126553	956	27	28	14	28	23	1579	944	774	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1	47203
1	2	ATAC_peaks	0	0.391266786875885	923	27	29	15	29	23.7	1664	977	689	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	1	48574
2	2	ATAC_peaks	49.0471211613194	2.57106894339406	1669	2	3	9	9	4.67	918	690	976	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	1.39062661443311e-48	48574
2	4	ATAC_peaks	28.4966901600519	2.02634396567365	1584	3	4	11	11	6	951	775	943	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	2.8223020384175e-28	47203
2	5	ATAC_peaks	16.87482902041	1.79434068148598	1828	5	6	6	6	5.67	1245	531	649	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	9.19009836128628e-17	127090
2	1	ATAC_peaks	10.1075635317582	1.49336743891029	1451	10	13	13	13	12	979	908	915	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	3.45700591048663e-10	85631
2	3	ATAC_peaks	7.53333492542669	1.40605412913962	1454	12	14	12	14	12.7	1010	905	884	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	0.000000100875165201742	68236
