userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
2	26	subcompartment	322.005185347452	8.16408462720261	3535	1	1	8	8	3.33	1039	1199	2878	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	0	490
1	29	subcompartment	88.2508715661968	9.08078044872943	435	1	1	30	30	10.7	63	3521	4632	Subcompartment_B2	NA	NA	NA	NA	NA	compartment_B2.bed	1.73976314937159e-87	504
1	28	subcompartment	87.711879523236	3.87177732115596	806	2	3	22	22	9	291	3150	4404	Subcompartment_B1	NA	NA	NA	NA	NA	compartment_B1.bed	4.01227703040656e-87	896
2	2	ATAC_peaks	57.5986223446288	2.05284975194242	3307	2	3	10	10	5	2077	1427	1840	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	3.90579417639116e-57	48574
1	30	subcompartment	56.061182459638	3.5760339084508	548	3	4	28	28	11.7	202	3408	4493	Subcompartment_B3	NA	NA	NA	NA	NA	compartment_B3.bed	1.07705833397575e-55	685
1	27	subcompartment	45.8021846329515	2.06051214975288	1243	4	5	18	18	9	854	2713	3841	Subcompartment_A2	NA	NA	NA	NA	NA	compartment_A2.bed	1.62950540808912e-45	1249
2	4	ATAC_peaks	38.8212511685834	1.78509450843318	3125	3	5	11	11	6.33	2041	1609	1876	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1.3367262632189e-38	47203
2	10	McCole_3d_data	31.5220953528212	1.88513423392433	3994	4	4	4	4	4	2903	740	1014	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	2.32919768444286e-31	4533
1	31	subcompartment	19.0235383701766	5.45322942273532	121	5	2	31	31	12.7	27	3835	4668	Subcompartment_B4	NA	NA	NA	NA	NA	compartment_B4.bed	6.52545516214725e-19	25
2	22	McCole_3d_data	14.4908901500431	1.43905312989565	3426	5	8	9	9	7.33	2528	1308	1389	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	2.00217271873109e-14	3269
2	5	ATAC_peaks	14.335139750091	1.46717465460725	3674	6	6	5	6	5.67	2752	1060	1165	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	2.60530908702888e-14	127090
1	24	McCole_3d_data	11.7920510899159	1.35931790293158	2471	6	6	9	9	7	2584	1485	2111	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	8.33987139277434e-12	4835
2	13	McCole_3d_data	11.0632291032139	1.44726858895439	1066	7	7	22	22	12	655	3668	3262	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	4.12305600455371e-11	8202
2	19	McCole_3d_data	10.9074741566091	1.39691513347086	1347	8	9	19	19	12	868	3387	3049	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	5.48011279149934e-11	11459
2	21	McCole_3d_data	9.61321298349581	1.37816755591642	1237	9	10	21	21	13.3	800	3497	3117	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1.00713443902096e-09	8436
2	1	ATAC_peaks	8.10538514117943	1.28364389400734	2951	10	11	13	13	11.3	2206	1783	1711	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	3.04009087390266e-08	85631
2	9	McCole_3d_data	7.63145902719352	1.26758797664629	2515	11	12	17	17	13.3	1849	2219	2068	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	8.52086610448471e-08	18331
2	3	ATAC_peaks	6.97400617650187	1.25843936163888	2974	12	13	12	13	12.3	2245	1760	1672	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	3.65689935518047e-07	68236
2	12	McCole_3d_data	5.66819800330679	1.22093829975651	2455	13	15	18	18	15.3	1836	2279	2081	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	7.00551528924691e-06	3567
2	14	McCole_3d_data	4.80998537231971	1.20119771369981	2852	14	16	14	16	14.7	2185	1882	1732	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	4.80149323729686e-05	3385
2	15	McCole_3d_data	4.20016067565621	1.24052703737393	951	15	14	23	23	17.3	660	3783	3257	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	0.000186213738435384	6161
1	7	McCole_3d_data	4.09859785568731	1.33464362099793	3645	7	7	2	7	5.33	4215	311	480	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	0.000224580039037327	1301
2	11	McCole_3d_data	2.28656582686859	1.13416733482972	1342	16	18	20	20	18	1013	3392	2904	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	0.0139347129428896	12903
2	17	McCole_3d_data	2.23457712542187	1.16488490629048	781	17	17	26	26	20	568	3953	3349	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	0.0150523158365125	5020
1	18	McCole_3d_data	2.12161030214574	1.13626233692015	3123	8	8	4	8	6.67	3603	833	1092	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	0.01874309811834	3810
2	8	McCole_3d_data	2.06608847013634	2.33248242084101	4721	18	2	1	18	7	3892	13	25	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	0.0204799961844048	293
2	16	McCole_3d_data	1.88378894709409	1.10339401872881	2818	19	19	15	19	17.7	2238	1916	1679	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	0.030008133155319	3481
2	23	McCole_3d_data	0.840550989592838	1.07329127917049	626	20	20	27	27	22.3	487	4108	3430	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	0.31965585863131	4279
2	20	McCole_3d_data	0.776858276553226	1.05078418722119	3586	21	21	7	21	16.3	2931	1148	986	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	0.357384254859283	3167
1	25	McCole_3d_data	0.652667920941142	1.04526700268844	733	9	9	24	24	14	839	3223	3856	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	0.459835518439557	7435
2	6	McCole_3d_data	0.322441836781628	1.00664994220702	4233	22	22	3	22	15.7	3500	501	417	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	0.951893056442013	1194
1	6	McCole_3d_data	0.219812508903727	0.984370563318858	3533	10	10	3	10	7.67	4200	423	495	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
1	20	McCole_3d_data	0.070911254812472	0.950838332463023	2960	11	11	5	11	9	3557	996	1138	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	1	3167
2	25	McCole_3d_data	0.0627697365619763	0.941567241132531	841	23	23	25	25	23.7	731	3893	3186	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	1	7435
1	23	McCole_3d_data	0.033254409174625	0.912539283900268	487	12	12	29	29	17.7	626	3469	4069	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	1	4279
1	16	McCole_3d_data	0.00734046926485148	0.912020286163689	2264	13	13	11	13	12.3	2792	1692	1903	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	1	3481
1	8	McCole_3d_data	0.0017087818849128	0.43662976612207	3931	14	30	1	30	15	4682	25	13	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	1	293
