userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	24	McCole_3d_data	11.7920510899159	1.35931790293158	2471	6	6	9	9	7	2584	1485	2111	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	8.33987139277434e-12	4835
1	7	McCole_3d_data	4.09859785568731	1.33464362099793	3645	7	7	2	7	5.33	4215	311	480	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	0.000224580039037327	1301
1	18	McCole_3d_data	2.12161030214574	1.13626233692015	3123	8	8	4	8	6.67	3603	833	1092	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	0.01874309811834	3810
1	25	McCole_3d_data	0.652667920941142	1.04526700268844	733	9	9	24	24	14	839	3223	3856	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	0.459835518439557	7435
1	6	McCole_3d_data	0.219812508903727	0.984370563318858	3533	10	10	3	10	7.67	4200	423	495	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
1	20	McCole_3d_data	0.070911254812472	0.950838332463023	2960	11	11	5	11	9	3557	996	1138	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	1	3167
1	23	McCole_3d_data	0.033254409174625	0.912539283900268	487	12	12	29	29	17.7	626	3469	4069	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	1	4279
1	16	McCole_3d_data	0.00734046926485148	0.912020286163689	2264	13	13	11	13	12.3	2792	1692	1903	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	1	3481
1	8	McCole_3d_data	0.0017087818849128	0.43662976612207	3931	14	30	1	30	15	4682	25	13	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	1	293
1	17	McCole_3d_data	0.00124225457840015	0.849297912899884	571	15	15	27	27	19	778	3385	3917	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	1	5020
1	11	McCole_3d_data	0.000624902718118358	0.866154831077964	1016	16	14	20	20	16.7	1339	2940	3356	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	1	12903
1	15	McCole_3d_data	0.00000810703436873963	0.795810677424818	663	17	18	25	25	20	948	3293	3747	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	1	6161
1	14	McCole_3d_data	0.00000490521353175359	0.831604479626884	2207	18	16	13	18	15.7	2830	1749	1865	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	1	3385
1	12	McCole_3d_data	0.000000379668743107925	0.81420904744176	1852	19	17	17	19	17.7	2439	2104	2256	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	1	3567
1	9	McCole_3d_data	1.52483731249773e-09	0.779420190188237	1862	21	20	16	21	19	2502	2094	2193	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	1	18331
1	21	McCole_3d_data	9.89284261398954e-12	0.714328631718948	803	23	22	23	23	22.7	1234	3153	3461	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1	8436
1	13	McCole_3d_data	9.4740351951631e-13	0.685880261542996	660	24	25	26	26	25	1061	3296	3634	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	1	8202
1	19	McCole_3d_data	4.9614648154195e-13	0.70575069410775	872	25	23	21	25	23	1343	3084	3352	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	1	11459
1	22	McCole_3d_data	6.60564314589007e-15	0.702985957141517	2560	26	24	8	26	19.3	3394	1396	1301	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	1	3269
1	10	McCole_3d_data	0	0.531859272430991	2935	28	28	6	28	20.7	3962	1021	733	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	1	4533
2	10	McCole_3d_data	31.5220953528212	1.88513423392433	3994	4	4	4	4	4	2903	740	1014	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	2.32919768444286e-31	4533
2	22	McCole_3d_data	14.4908901500431	1.43905312989565	3426	5	8	9	9	7.33	2528	1308	1389	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	2.00217271873109e-14	3269
2	13	McCole_3d_data	11.0632291032139	1.44726858895439	1066	7	7	22	22	12	655	3668	3262	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	4.12305600455371e-11	8202
2	19	McCole_3d_data	10.9074741566091	1.39691513347086	1347	8	9	19	19	12	868	3387	3049	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	5.48011279149934e-11	11459
2	21	McCole_3d_data	9.61321298349581	1.37816755591642	1237	9	10	21	21	13.3	800	3497	3117	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1.00713443902096e-09	8436
2	9	McCole_3d_data	7.63145902719352	1.26758797664629	2515	11	12	17	17	13.3	1849	2219	2068	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	0.0000000852086610448471	18331
2	12	McCole_3d_data	5.66819800330679	1.22093829975651	2455	13	15	18	18	15.3	1836	2279	2081	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	0.00000700551528924691	3567
2	14	McCole_3d_data	4.80998537231971	1.20119771369981	2852	14	16	14	16	14.7	2185	1882	1732	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	0.0000480149323729686	3385
2	15	McCole_3d_data	4.20016067565621	1.24052703737393	951	15	14	23	23	17.3	660	3783	3257	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	0.000186213738435384	6161
2	11	McCole_3d_data	2.28656582686859	1.13416733482972	1342	16	18	20	20	18	1013	3392	2904	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	0.0139347129428896	12903
2	17	McCole_3d_data	2.23457712542187	1.16488490629048	781	17	17	26	26	20	568	3953	3349	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	0.0150523158365125	5020
