userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	1116	ucsc_features	200.162985367059	6.62288735353359	1212	1	1	989	989	330	293	2567	4111	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	1.54320771160584e-197	1296
1	1120	ucsc_features	29.1471320747631	4.1628556878117	3717	96	2	1	96	33	4118	62	286	UCSC Repeat Masker	NA	NA	NA	NA	NA	rmsk.bed	2.05730215105448e-29	5291824
1	1118	ucsc_features	22.0848979677457	1.62655155318828	2903	126	137	27	137	96.7	2954	876	1450	UCSC Nested repeats	NA	NA	NA	NA	NA	nestedRepeats.bed	2.13548082780286e-22	574736
1	1114	ucsc_features	17.4315374323738	1.72542763675909	684	154	118	1104	1104	459	500	3095	3904	UCSC Genomic superdups	NA	NA	NA	NA	NA	genomicSuperDups.bed	8.98939754134676e-18	49852
1	1121	ucsc_features	15.0772482524389	1.54951244792896	3120	165	151	6	165	107	3318	659	1086	UCSC Simple repeats	NA	NA	NA	NA	NA	simpleRepeat.bed	1.97688307189285e-15	958537
1	1122	ucsc_features	7.52233996186923	1.51375075869356	3483	195	164	3	195	121	3902	296	502	UCSC Switch DB TSSs	NA	NA	NA	NA	NA	switchDbTss.bed	0.0000000661408266082908	131751
1	1111	ucsc_features	6.79412939434566	1.27675437677842	2667	200	201	109	201	170	2874	1112	1530	UCSC coriellDelDup table	NA	NA	NA	NA	NA	coriellDelDup.bed	0.000000350642846158958	864
1	1115	ucsc_features	2.4479912842039	1.5039567665104	3707	220	166	2	220	129	4279	72	125	UCSC LaminBq	NA	NA	NA	NA	NA	laminB1.bed	0.00743366121403719	2859551
1	1117	ucsc_features	1.39747018358646	1.09384345667746	1016	229	230	1044	1044	501	1108	2763	3296	UCSC Microsatellites	NA	NA	NA	NA	NA	microsat.bed	0.0822095453392407	41258
1	1119	ucsc_features	0.23489582625661	1.1654951733794	3	247	218	1123	1123	529	3	3776	4401	UCSC Numts assembled	NA	NA	NA	NA	NA	numtSAssembled.bed	1	78
1	1123	ucsc_features	0.00000354307577816005	0.379107158808876	22	284	1034	1122	1122	813	67	3757	4337	UCSC Vista enhancers	NA	NA	NA	NA	NA	vistaEnhancers.bed	1	1339
1	1113	ucsc_features	0	0.466267050934537	2525	337	749	210	749	432	3576	1254	828	UCSC Evo CpG islands	NA	NA	NA	NA	NA	evoCpg.bed	1	129241
1	1112	ucsc_features	0	0.568046575611082	2068	337	446	606	606	463	2996	1711	1408	UCSC CpG islands	NA	NA	NA	NA	NA	cpgIslandExt.bed	1	28633
2	1113	ucsc_features	49.5050150481395	2.14234281871698	3601	464	382	226	464	357	2500	837	1245	UCSC Evo CpG islands	NA	NA	NA	NA	NA	evoCpg.bed	1.4416696061076e-49	129241
2	1112	ucsc_features	35.5517764619935	1.77602328827903	3021	629	667	635	667	644	2043	1417	1702	UCSC CpG islands	NA	NA	NA	NA	NA	cpgIslandExt.bed	9.05782759866789e-36	28633
2	1123	ucsc_features	4.50361411319585	2.59359274719983	67	840	113	1122	1122	692	22	4371	3723	UCSC Vista enhancers	NA	NA	NA	NA	NA	vistaEnhancers.bed	0.0000671460006822079	1339
2	1119	ucsc_features	0.135487876354637	0.843762514375829	3	882	906	1123	1123	970	3	4435	3742	UCSC Numts assembled	NA	NA	NA	NA	NA	numtSAssembled.bed	1	78
2	1117	ucsc_features	0.00789955671304833	0.900613773049339	1111	896	895	968	968	920	1013	3327	2732	UCSC Microsatellites	NA	NA	NA	NA	NA	microsat.bed	1	41258
2	1115	ucsc_features	0.00055593493812408	0.646604601786036	4311	905	965	1	965	624	3675	127	70	UCSC LaminBq	NA	NA	NA	NA	NA	laminB1.bed	1	2859551
2	1111	ucsc_features	0.0000000186992002943628	0.775755354453982	2893	924	923	699	924	849	2648	1545	1097	UCSC coriellDelDup table	NA	NA	NA	NA	NA	coriellDelDup.bed	1	864
2	1122	ucsc_features	4.02471374112557e-10	0.63404745905842	3926	932	976	40	976	649	3459	512	286	UCSC Switch DB TSSs	NA	NA	NA	NA	NA	switchDbTss.bed	1	131751
2	1120	ucsc_features	0	0.239534134431901	4151	959	1122	2	1122	694	3684	287	61	UCSC Repeat Masker	NA	NA	NA	NA	NA	rmsk.bed	1	5291824
2	1121	ucsc_features	0	0.629479929793907	3337	959	979	439	979	792	3101	1101	644	UCSC Simple repeats	NA	NA	NA	NA	NA	simpleRepeat.bed	1	958537
2	1118	ucsc_features	0	0.593754952838186	2965	959	995	664	995	873	2892	1473	853	UCSC Nested repeats	NA	NA	NA	NA	NA	nestedRepeats.bed	1	574736
2	1114	ucsc_features	0	0.570553899239805	501	959	1007	1105	1105	1020	683	3937	3062	UCSC Genomic superdups	NA	NA	NA	NA	NA	genomicSuperDups.bed	1	49852
2	1116	ucsc_features	0	0.149939524501017	296	959	1123	1117	1123	1070	1209	4142	2536	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	1	1296
