userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
2	512	roadmap_epigenomics	173.140862642563	4.34270573311678	3825	1	4	80	80	28.3	2208	613	1537	roadmap_epigenomics H3K36me3	NA	NA	H3K36me3	NA	NA	E056-H3K36me3.narrowPeak	8.11927242904947e-171	339193
2	514	roadmap_epigenomics	171.520434698718	5.2518502847013	4060	2	1	9	9	4	2515	378	1230	roadmap_epigenomics H3K4me3	NA	NA	H3K4me3	NA	NA	E056-H3K4me3.narrowPeak	2.25867527856506e-169	152592
2	513	roadmap_epigenomics	150.741092816294	4.7764056889726	4053	3	2	10	10	5	2576	385	1169	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E056-H3K4me1.narrowPeak	1.01919420181823e-148	303644
2	505	roadmap_epigenomics	146.904947399005	4.30600998939912	3964	4	5	28	28	12.3	2472	474	1273	roadmap_epigenomics H3K4me3	NA	NA	H3K4me3	NA	NA	E055-H3K4me3.narrowPeak	5.59103677175007e-145	115193
2	510	roadmap_epigenomics	139.439537904815	4.66170119648549	4075	5	3	6	6	4.67	2646	363	1099	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E056-H3K27ac.narrowPeak	1.36056907897407e-137	271197
2	504	roadmap_epigenomics	131.56890532029	4.29220367169713	4034	6	6	15	15	9	2619	404	1126	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E055-H3K4me1.narrowPeak	8.65777692433944e-130	338865
2	503	roadmap_epigenomics	127.341801185403	3.1946859831548	3510	7	19	303	303	110	2030	928	1715	roadmap_epigenomics H3K36me3	NA	NA	H3K36me3	NA	NA	E055-H3K36me3.narrowPeak	1.27796388090697e-125	289239
2	501	roadmap_epigenomics	121.212982137095	3.96066165000057	4002	8	7	20	20	11.7	2616	436	1129	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E055-H3K27ac.narrowPeak	1.5282172776127e-119	274023
2	876	roadmap_epigenomics	120.553535433328	3.49703414667963	3830	9	9	79	79	32.3	2408	608	1337	roadmap_epigenomics H3K9ac	NA	NA	H3K9ac	NA	NA	E107-H3K9ac.narrowPeak	6.27876629968172e-119	144247
2	537	roadmap_epigenomics	110.32234887301	3.07997493727976	3647	10	24	184	184	72.7	2245	791	1500	roadmap_epigenomics H3K4me3	NA	NA	H3K4me3	NA	NA	E059-H3K4me3.narrowPeak	8.91003957205614e-109	47573
2	874	roadmap_epigenomics	108.824866165502	3.28737840267988	3819	11	16	83	83	36.7	2443	619	1302	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E107-H3K4me1.narrowPeak	2.58583157437498e-107	238000
2	1051	roadmap_epigenomics	108.599403623059	2.72723990134492	2623	12	72	767	767	284	1297	1815	2448	roadmap_epigenomics H4K20me1	NA	NA	H4K20me1	NA	NA	E124-H4K20me1.narrowPeak	4.03532105280784e-107	157666
2	930	roadmap_epigenomics	107.722224395639	2.76735540790604	2339	13	66	817	817	299	1075	2099	2670	roadmap_epigenomics H4K20me1	NA	NA	H4K20me1	NA	NA	E114-H4K20me1.narrowPeak	2.83853397812192e-106	69077
2	536	roadmap_epigenomics	106.784579074006	2.74690792622335	3161	14	69	564	564	216	1775	1277	1970	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E059-H3K4me1.narrowPeak	2.30521106361072e-105	104649
2	740	roadmap_epigenomics	104.446497642267	3.39898849657183	3913	15	11	47	47	24.3	2572	525	1173	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E089-H3K4me1.narrowPeak	4.7256677943975e-103	234241
2	963	roadmap_epigenomics	104.282448263208	2.83436879193162	3445	16	52	345	345	138	2061	993	1684	roadmap_epigenomics H3K9ac	NA	NA	H3K9ac	NA	NA	E117-H3K9ac.narrowPeak	6.51161902855574e-103	64430
2	881	roadmap_epigenomics	104.089146609798	3.45429069804789	3939	17	10	36	36	21	2605	499	1140	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E108-H3K4me1.narrowPeak	9.62741163555265e-103	272216
2	705	roadmap_epigenomics	103.670416287665	2.93032948784247	3590	18	33	237	237	96	2213	848	1532	roadmap_epigenomics H3K36me3	NA	NA	H3K36me3	NA	NA	E085-H3K36me3.narrowPeak	2.39863114567761e-102	359487
2	110	roadmap_epigenomics	102.212450267816	2.98761611659261	3672	19	29	167	167	71.7	2307	766	1438	roadmap_epigenomics H4K8ac	NA	NA	H4K8ac	NA	NA	E006-H4K8ac.narrowPeak	6.55752853926383e-101	209112
2	611	roadmap_epigenomics	101.679547270783	3.03632583067266	3722	20	27	130	130	59	2364	716	1381	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E073-H3K27ac.narrowPeak	2.13520609418698e-100	206720
2	222	roadmap_epigenomics	101.403453011071	2.69157992026968	3209	21	78	527	527	209	1844	1229	1901	roadmap_epigenomics H2AK5ac	NA	NA	H2AK5ac	NA	NA	E017-H2AK5ac.narrowPeak	3.85681586401658e-100	296165
2	1063	roadmap_epigenomics	101.057129033272	2.62226209171735	2707	22	100	749	749	290	1399	1731	2346	roadmap_epigenomics H4K20me1	NA	NA	H4K20me1	NA	NA	E125-H4K20me1.narrowPeak	8.20482791853913e-100	167649
