userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	28	subcompartment	100.439945558097	2.70351929212346	1533	1	3	26	26	10	707	6845	8535	Subcompartment_B1	NA	NA	NA	NA	NA	compartment_B1.bed	1.12568307332513e-99	896
1	29	subcompartment	76.0634114061358	3.76765117844251	726	2	1	30	30	11	227	7652	9015	Subcompartment_B2	NA	NA	NA	NA	NA	compartment_B2.bed	1.785907777689e-75	504
1	30	subcompartment	63.469607485202	2.44300522800571	1118	3	4	29	29	12	548	7260	8694	Subcompartment_B3	NA	NA	NA	NA	NA	compartment_B3.bed	5.25683339308286e-63	685
1	27	subcompartment	46.1879273342822	1.62526183267399	2734	4	5	18	18	9	2122	5644	7120	Subcompartment_A2	NA	NA	NA	NA	NA	compartment_A2.bed	8.04441284650233e-46	1249
1	31	subcompartment	18.9540894767262	3.13088021633495	212	5	2	31	31	12.7	76	8166	9166	Subcompartment_B4	NA	NA	NA	NA	NA	compartment_B4.bed	7.6570186224566e-19	25
1	26	subcompartment	0	0.234079017584106	2642	28	31	19	31	26	6128	5736	3114	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	1	490
2	26	subcompartment	322.005185347452	4.20474754767183	6255	1	1	10	10	4	2515	3289	5561	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	0	490
2	27	subcompartment	0	0.622706622910962	2216	26	27	22	27	25	2640	7328	5436	Subcompartment_A2	NA	NA	NA	NA	NA	compartment_A2.bed	1	1249
2	28	subcompartment	0	0.377849484606566	751	26	29	28	29	27.7	1489	8793	6587	Subcompartment_B1	NA	NA	NA	NA	NA	compartment_B1.bed	1	896
2	30	subcompartment	0	0.41047373596567	575	26	28	29	29	27.7	1091	8969	6985	Subcompartment_B3	NA	NA	NA	NA	NA	compartment_B3.bed	1	685
2	29	subcompartment	0	0.261779406175609	237	26	31	30	31	29	716	9307	7360	Subcompartment_B2	NA	NA	NA	NA	NA	compartment_B2.bed	1	504
2	31	subcompartment	0	0.336854821782892	83	26	30	31	31	29	205	9461	7871	Subcompartment_B4	NA	NA	NA	NA	NA	compartment_B4.bed	1	25
