userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
2	26	subcompartment	322.005185347452	4.20474754767183	6255	1	1	10	10	4	2515	3289	5561	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	0	490
2	2	ATAC_peaks	45.8605665518893	1.56749140649421	6524	2	2	9	9	4.33	4680	3020	3396	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	1.42453750323614e-45	48574
2	4	ATAC_peaks	34.672137096055	1.46637386997351	6169	3	4	11	11	6	4481	3375	3595	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1.88432822517674e-34	47203
2	10	McCole_3d_data	28.8499632460277	1.55943562005713	8131	4	3	4	4	3.67	6354	1413	1722	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	1.09480924593679e-28	4533
2	22	McCole_3d_data	7.74884736585385	1.20146383619299	6923	5	6	8	8	6.33	5551	2621	2525	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	0.0000000921219405051861	3269
2	12	McCole_3d_data	4.86406757832102	1.13584384290024	5072	6	8	18	18	10.7	4035	4472	4041	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	0.0000652199946538538	3567
2	13	McCole_3d_data	4.79197426018126	1.16620237818508	2180	7	7	23	23	12.3	1635	7364	6441	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	0.0000714972591850899	8202
2	1	ATAC_peaks	3.66686028972912	1.11617651337287	6001	8	12	13	13	11	4868	3543	3208	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	0.000890102745713661	85631
2	5	ATAC_peaks	3.50037449053611	1.12997191403258	7391	9	9	6	9	8	6076	2153	2000	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	0.00115230720550204	127090
2	19	McCole_3d_data	3.45478875335501	1.12192702082445	2761	10	10	20	20	13.3	2150	6783	5926	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	0.00120873314461486	11459
2	20	McCole_3d_data	3.00324874960011	1.11703329521975	7384	11	11	7	11	9.67	6087	2160	1989	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	0.00323883884202363	3167
2	3	ATAC_peaks	2.9244199952105	1.10004292413662	6069	12	14	12	14	12.7	4955	3475	3121	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	0.00355625820585374	68236
2	14	McCole_3d_data	2.91252617690314	1.09868231524136	5865	13	15	14	15	14	4781	3679	3295	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	0.00355625820585374	3385
2	21	McCole_3d_data	2.89897572282713	1.11192348247226	2485	14	13	21	21	16	1942	7059	6134	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	0.00355625820585374	8436
2	9	McCole_3d_data	2.51554648305313	1.08708902898933	5129	15	16	17	17	16	4172	4415	3904	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	0.0082246489549086	18331
2	8	McCole_3d_data	0.926241327392472	1.36250122953543	9511	16	5	1	16	7.33	8038	33	38	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	0.29390728668403	293
2	16	McCole_3d_data	0.647233309397734	1.02405494362235	5760	17	19	15	19	17	4828	3784	3248	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	0.527358546291777	3481
2	11	McCole_3d_data	0.625227328226035	1.02475940864272	2779	18	18	19	19	18.3	2311	6765	5765	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	0.527358546291777	12903
2	15	McCole_3d_data	0.623127669642677	1.02795667959096	1945	19	17	24	24	20	1610	7599	6466	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	0.527358546291777	6161
2	17	McCole_3d_data	0.517739167549929	1.02176961448274	1635	20	20	26	26	22	1359	7909	6717	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	0.627380862928556	5020
2	6	McCole_3d_data	0.0978726289979094	0.95938828725344	8603	21	21	2	21	14.7	7309	941	767	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
2	23	McCole_3d_data	0.0194341854460866	0.928736601663904	1274	22	22	27	27	23.7	1149	8270	6927	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	1	4279
2	18	McCole_3d_data	0.00372379851006954	0.914060841679242	7588	23	23	5	23	17	6536	1956	1540	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	1	3810
2	25	McCole_3d_data	0.000000855747358629251	0.841584071981828	1813	24	24	25	25	24.3	1760	7731	6316	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	1	7435
2	7	McCole_3d_data	1.23433915718822e-14	0.679875472052133	8457	25	26	3	26	18	7427	1087	649	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	1	1301
2	24	McCole_3d_data	0	0.770661517589531	5515	26	25	16	26	22.3	5167	4029	2909	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	1	4835
2	27	subcompartment	0	0.622706622910962	2216	26	27	22	27	25	2640	7328	5436	Subcompartment_A2	NA	NA	NA	NA	NA	compartment_A2.bed	1	1249
2	28	subcompartment	0	0.377849484606566	751	26	29	28	29	27.7	1489	8793	6587	Subcompartment_B1	NA	NA	NA	NA	NA	compartment_B1.bed	1	896
2	30	subcompartment	0	0.41047373596567	575	26	28	29	29	27.7	1091	8969	6985	Subcompartment_B3	NA	NA	NA	NA	NA	compartment_B3.bed	1	685
2	29	subcompartment	0	0.261779406175609	237	26	31	30	31	29	716	9307	7360	Subcompartment_B2	NA	NA	NA	NA	NA	compartment_B2.bed	1	504
2	31	subcompartment	0	0.336854821782892	83	26	30	31	31	29	205	9461	7871	Subcompartment_B4	NA	NA	NA	NA	NA	compartment_B4.bed	1	25
