userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
2	26	subcompartment	306.703911757541	12.6759499091978	1938	1	1	5	5	2.33	467	461	1409	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	1.22597025127369e-305	490
2	2	ATAC_peaks	38.2553963689184	2.30330672961702	1708	2	3	10	10	5	971	691	905	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	8.60865551236021e-38	48574
2	10	McCole_3d_data	25.6551833620797	2.22053183432686	2028	3	4	4	4	3.67	1334	371	542	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	1.95934217770292e-25	4533
2	4	ATAC_peaks	24.2179309035945	1.91464248765597	1617	4	5	11	11	6.67	974	782	902	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	4.69213824081205e-24	47203
2	22	McCole_3d_data	14.5638982664628	1.66708088580574	1712	5	8	9	9	7.33	1124	687	752	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	1.88040290563111e-14	3269
2	9	McCole_3d_data	14.3792376767544	1.61964135227614	1312	6	10	16	16	10.7	801	1087	1075	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	2.58913092926124e-14	18331
2	5	ATAC_peaks	12.2473913796843	1.64945042280619	1877	7	9	6	9	7.33	1286	522	590	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	3.18865567426914e-12	127090
2	13	McCole_3d_data	11.490148712299	1.72669486794746	565	8	6	22	22	12	284	1834	1592	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	1.54276445729306e-11	8202
2	21	McCole_3d_data	11.40373022097	1.67201154509654	643	9	7	21	21	12.3	337	1756	1539	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1.74796781926633e-11	8436
2	1	ATAC_peaks	8.45270527263456	1.43965545475559	1506	10	13	13	13	12	1012	893	864	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	0.0000000145745501118517	85631
2	12	McCole_3d_data	8.3990685356296	1.43231412276799	1215	11	14	18	18	14.3	783	1184	1093	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	0.0000000154597750805337	3567
2	19	McCole_3d_data	8.01578618888237	1.50781047992773	666	12	12	20	20	14.7	381	1733	1495	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	0.0000000351687213933192	11459
2	15	McCole_3d_data	7.83639001314155	1.57783993023731	503	13	11	23	23	15.7	270	1896	1606	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	0.0000000502029423207993	6161
2	3	ATAC_peaks	6.07970890418682	1.35350235940387	1510	14	17	12	17	14.3	1044	889	832	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	0.0000025801965467213	68236
2	11	McCole_3d_data	4.73727037320965	1.33929202495359	701	15	18	19	19	17.3	442	1698	1434	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	0.0000540632340525769	12903
2	14	McCole_3d_data	3.52693220353838	1.24145593700192	1450	16	20	14	20	16.7	1035	949	841	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	0.000817931985523232	3385
2	8	McCole_3d_data	3.51794666171647	5.79767087421705	2395	17	2	1	17	6.67	1858	4	18	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	0.000817931985523232	293
2	17	McCole_3d_data	3.4095528134397	1.36114337463704	369	18	16	25	25	19.7	221	2030	1655	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	0.0010060686920247	5020
2	6	McCole_3d_data	3.18968552369772	1.3837317762927	2177	19	15	2	19	12	1644	222	232	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	0.00160238236662128	1194
