userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
2	26	subcompartment	322.005185347452	6.85045907749872	3423	1	1	8	8	3.33	1089	1289	2810	Subcompartment_A1	NA	NA	NA	NA	NA	compartment_A1.bed	0	490
1	28	subcompartment	90.0840792263832	4.07595224416036	785	1	3	23	23	9	268	3160	4398	Subcompartment_B1	NA	NA	NA	NA	NA	compartment_B1.bed	2.5543621332733e-89	896
1	29	subcompartment	66.6849485999262	6.01294550768362	413	2	2	30	30	11.3	89	3532	4577	Subcompartment_B2	NA	NA	NA	NA	NA	compartment_B2.bed	4.26895753622851e-66	504
2	2	ATAC_peaks	61.3428081297358	2.11562916827953	3355	2	3	10	10	5	2101	1357	1798	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	7.03920427483165e-61	48574
2	4	ATAC_peaks	43.4603086006526	1.85763598261854	3189	3	5	11	11	6.33	2066	1523	1833	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	4.29648286903001e-43	47203
1	30	subcompartment	39.3363745599955	2.86342889896836	508	3	4	28	28	11.7	229	3437	4437	Subcompartment_B3	NA	NA	NA	NA	NA	compartment_B3.bed	4.7628387584621e-39	685
2	10	McCole_3d_data	33.4048669136539	1.93940912794605	4007	4	4	4	4	4	2907	705	992	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	3.48679757949422e-33	4533
1	27	subcompartment	33.2110017925857	1.82972461984458	1238	4	5	18	18	9	933	2707	3733	Subcompartment_A2	NA	NA	NA	NA	NA	compartment_A2.bed	4.76760108480039e-33	1249
1	31	subcompartment	20.4293527817121	6.1184550012939	121	5	1	31	31	12.3	24	3824	4642	Subcompartment_B4	NA	NA	NA	NA	NA	compartment_B4.bed	2.56328206219003e-20	25
2	9	McCole_3d_data	19.3780277696748	1.48620330925864	2614	5	9	16	16	10	1778	2098	2121	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	2.59635408224862e-19	18331
2	19	McCole_3d_data	18.1868382596057	1.5510689276528	1421	6	6	19	19	10.3	849	3291	3050	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	3.66573228714804e-18	11459
2	5	ATAC_peaks	14.9514790485281	1.4903003729817	3712	7	8	5	8	6.67	2782	1000	1117	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	5.77738613611648e-15	127090
2	13	McCole_3d_data	14.7507118079904	1.53492144784679	1118	8	7	22	22	12.3	657	3594	3242	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	8.46713587700058e-15	8202
2	1	ATAC_peaks	13.4583643874308	1.39467597398523	3026	9	11	13	13	11	2194	1686	1705	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1.54134290052757e-13	85631
2	3	ATAC_peaks	12.095519256564	1.37050593668182	3059	10	13	12	13	11.7	2240	1653	1659	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	3.31727269421524e-12	68236
2	21	McCole_3d_data	10.883146052443	1.40703644582783	1270	11	10	21	21	14	810	3442	3089	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	5.071374170919e-11	8436
2	22	McCole_3d_data	10.638766623021	1.36132994457886	3388	12	14	9	14	11.7	2545	1324	1354	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	8.37869043754365e-11	3269
1	24	McCole_3d_data	10.1721741965589	1.32654961615423	2414	6	6	9	9	7	2534	1531	2132	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	2.31710112374204e-10	4835
2	15	McCole_3d_data	8.92051088862931	1.3945220713304	1016	13	12	23	23	16	642	3696	3257	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	3.91856630653929e-09	6161
2	12	McCole_3d_data	8.36544867179583	1.28451568367118	2482	14	16	18	18	16	1810	2230	2089	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	1.33632785780864e-08	3567
