userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	1116	ucsc_features	154.905562086887	5.2498252397916	1108	1	1	1008	1008	337	325	2634	4057	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	4.65260748094921e-153	1296
1	1120	ucsc_features	26.8880163412037	4.04450996094267	3682	43	2	1	43	15.3	4111	60	271	UCSC Repeat Masker	NA	NA	NA	NA	NA	rmsk.bed	3.57962375506855e-27	5291824
1	1114	ucsc_features	19.904555646542	1.79595056870443	694	75	31	1101	1101	402	493	3048	3889	UCSC Genomic superdups	NA	NA	NA	NA	NA	genomicSuperDups.bed	3.16520498009992e-20	49852
1	1118	ucsc_features	14.0483812287549	1.46753067467851	2843	125	125	31	125	93.7	2993	899	1389	UCSC Nested repeats	NA	NA	NA	NA	NA	nestedRepeats.bed	2.10610562702853e-14	574736
1	1121	ucsc_features	11.5316948411609	1.46569097626941	3086	141	127	7	141	91.7	3341	656	1041	UCSC Simple repeats	NA	NA	NA	NA	NA	simpleRepeat.bed	6.72362406570243e-12	958537
1	1111	ucsc_features	8.37263327638143	1.31772568561266	2647	167	181	105	181	151	2836	1095	1546	UCSC coriellDelDup table	NA	NA	NA	NA	NA	coriellDelDup.bed	9.36387316796781e-09	864
1	1122	ucsc_features	7.79226525316226	1.54108612095681	3463	172	94	3	172	89.7	3898	279	484	UCSC Switch DB TSSs	NA	NA	NA	NA	NA	switchDbTss.bed	0.0000000353870648645433	131751
1	1115	ucsc_features	2.1439691984128	1.45144859226817	3669	209	133	2	209	115	4259	73	123	UCSC LaminBq	NA	NA	NA	NA	NA	laminB1.bed	0.0149009271935503	2859551
1	1119	ucsc_features	0.355531076821735	2.34255273539184	2	231	5	1123	1123	453	1	3740	4381	UCSC Numts assembled	NA	NA	NA	NA	NA	numtSAssembled.bed	0.886006425627154	78
1	1117	ucsc_features	0.0000929550138771196	0.838292103469264	931	254	255	1053	1053	521	1241	2811	3141	UCSC Microsatellites	NA	NA	NA	NA	NA	microsat.bed	1	41258
1	1123	ucsc_features	3.85730986621315e-16	0.173255348621832	16	291	1122	1122	1122	845	106	3726	4276	UCSC Vista enhancers	NA	NA	NA	NA	NA	vistaEnhancers.bed	1	1339
1	1113	ucsc_features	0	0.467818781998929	2534	297	584	185	584	355	3583	1208	799	UCSC Evo CpG islands	NA	NA	NA	NA	NA	evoCpg.bed	1	129241
1	1112	ucsc_features	0	0.592798140890529	2132	297	350	540	540	396	3027	1610	1355	UCSC CpG islands	NA	NA	NA	NA	NA	cpgIslandExt.bed	1	28633
2	1113	ucsc_features	47.7388047930293	2.13352871443847	3614	611	536	277	611	475	2503	810	1197	UCSC Evo CpG islands	NA	NA	NA	NA	NA	evoCpg.bed	6.62085855446181e-48	129241
2	1112	ucsc_features	28.464747513273	1.67813165042561	3051	753	768	662	768	728	2108	1373	1592	UCSC CpG islands	NA	NA	NA	NA	NA	cpgIslandExt.bed	9.75068546618873e-29	28633
2	1123	ucsc_features	13.9156054952133	5.65127686921695	106	831	2	1122	1122	652	16	4318	3684	UCSC Vista enhancers	NA	NA	NA	NA	NA	vistaEnhancers.bed	2.85031145993684e-14	1339
2	1117	ucsc_features	3.1040998200897	1.17449263921642	1246	871	869	949	949	896	926	3178	2774	UCSC Microsatellites	NA	NA	NA	NA	NA	microsat.bed	0.00165477396399735	41258
2	1119	ucsc_features	0.0430773080142075	0.418083986706459	1	899	1119	1123	1123	1050	2	4423	3698	UCSC Numts assembled	NA	NA	NA	NA	NA	numtSAssembled.bed	1	78
2	1115	ucsc_features	0.000827101925151316	0.657824834620609	4298	915	1004	1	1004	640	3630	126	70	UCSC LaminBq	NA	NA	NA	NA	NA	laminB1.bed	1	2859551
2	1122	ucsc_features	4.06244449978079e-10	0.627700235996547	3931	953	1036	55	1036	681	3430	493	270	UCSC Switch DB TSSs	NA	NA	NA	NA	NA	switchDbTss.bed	1	131751
2	1111	ucsc_features	2.81444178573091e-10	0.749147265954758	2859	955	939	731	955	875	2624	1565	1076	UCSC coriellDelDup table	NA	NA	NA	NA	NA	coriellDelDup.bed	1	864
2	1121	ucsc_features	1.00000758281587e-13	0.670457015360879	3369	980	996	459	996	812	3058	1055	642	UCSC Simple repeats	NA	NA	NA	NA	NA	simpleRepeat.bed	1	958537
2	1120	ucsc_features	0	0.221776214823259	4147	1003	1122	2	1122	709	3646	277	54	UCSC Repeat Masker	NA	NA	NA	NA	NA	rmsk.bed	1	5291824
2	1118	ucsc_features	0	0.648435586455968	3004	1003	1013	688	1013	901	2832	1420	868	UCSC Nested repeats	NA	NA	NA	NA	NA	nestedRepeats.bed	1	574736
2	1114	ucsc_features	0	0.554386400747797	498	1003	1090	1112	1112	1070	689	3926	3011	UCSC Genomic superdups	NA	NA	NA	NA	NA	genomicSuperDups.bed	1	49852
2	1116	ucsc_features	0	0.187240986113217	327	1003	1123	1118	1123	1080	1106	4097	2594	UCSC LaminB1 Lads	NA	NA	NA	NA	NA	laminB1Lads.bed	1	1296
