userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
2	514	roadmap_epigenomics	187.999634283408	5.9804779655778	4092	1	1	8	8	3.33	2491	332	1209	roadmap_epigenomics H3K4me3	NA	NA	H3K4me3	NA	NA	E056-H3K4me3.narrowPeak	2.24789213873138e-185	152592
2	512	roadmap_epigenomics	180.322254323556	4.62594938892607	3863	2	8	86	86	32	2213	561	1487	roadmap_epigenomics H3K36me3	NA	NA	H3K36me3	NA	NA	E056-H3K36me3.narrowPeak	5.34718774293981e-178	339193
2	505	roadmap_epigenomics	164.477327607931	4.89349671811343	4005	3	6	23	23	10.7	2447	419	1253	roadmap_epigenomics H3K4me3	NA	NA	H3K4me3	NA	NA	E055-H3K4me3.narrowPeak	2.49437008440383e-162	115193
2	510	roadmap_epigenomics	163.034282321495	5.59646478123779	4115	4	3	4	4	3.67	2605	309	1095	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E056-H3K27ac.narrowPeak	5.18880606670071e-161	271197
2	513	roadmap_epigenomics	160.589334162791	5.14542114839574	4063	5	4	12	12	7	2539	361	1161	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E056-H3K4me1.narrowPeak	1.15639334803923e-158	303644
2	611	roadmap_epigenomics	151.482907971069	4.08342010235207	3845	6	12	93	93	37	2291	579	1409	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E073-H3K27ac.narrowPeak	1.05536756045253e-149	206720
2	504	roadmap_epigenomics	147.948336796648	4.90261518268144	4068	7	5	11	11	7.67	2589	356	1111	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E055-H3K4me1.narrowPeak	3.16215364764651e-146	338865
2	876	roadmap_epigenomics	145.769534957588	4.13281025703587	3899	8	11	64	64	27.7	2377	525	1323	roadmap_epigenomics H3K9ac	NA	NA	H3K9ac	NA	NA	E107-H3K9ac.narrowPeak	4.24260192712451e-144	144247
2	501	roadmap_epigenomics	144.338531896268	4.67526899184145	4042	9	7	18	18	11.3	2566	382	1134	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E055-H3K27ac.narrowPeak	1.03009636741923e-142	274023
2	503	roadmap_epigenomics	135.619072839224	3.39118037248202	3571	10	36	308	308	118	2044	853	1656	roadmap_epigenomics H3K36me3	NA	NA	H3K36me3	NA	NA	E055-H3K36me3.narrowPeak	4.90844837404893e-134	289239
2	586	roadmap_epigenomics	135.234983476056	3.54878959144607	3703	11	25	188	188	74.7	2188	721	1512	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E069-H3K27ac.narrowPeak	1.08954464323486e-133	169793
2	598	roadmap_epigenomics	133.789635413192	3.80992926222712	3855	12	16	88	88	38.7	2368	569	1332	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E071-H3K27ac.narrowPeak	2.80434206499148e-132	152169
2	604	roadmap_epigenomics	132.374629338792	3.51797639648587	3712	13	26	179	179	72.7	2209	712	1491	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E072-H3K27ac.narrowPeak	6.77099319707576e-131	177783
2	874	roadmap_epigenomics	132.308363250947	3.86427522577413	3887	14	15	73	73	34	2412	537	1288	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E107-H3K4me1.narrowPeak	7.36131228429922e-131	238000
2	618	roadmap_epigenomics	128.539132063745	3.43397104521308	3694	15	30	193	193	79.3	2204	730	1496	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E074-H3K27ac.narrowPeak	4.05655814659873e-127	158702
2	572	roadmap_epigenomics	127.84842537871	3.37131126252475	3654	16	37	242	242	98.3	2163	770	1537	roadmap_epigenomics H3K27ac	NA	NA	H3K27ac	NA	NA	E067-H3K27ac.narrowPeak	1.81139751966776e-126	171902
2	881	roadmap_epigenomics	127.838123478091	4.1470528672615	4000	17	10	28	28	18.3	2570	424	1130	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E108-H3K4me1.narrowPeak	1.81139751966776e-126	272216
2	740	roadmap_epigenomics	124.10399573646	3.89265539828779	3948	18	14	45	45	25.7	2518	476	1182	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E089-H3K4me1.narrowPeak	9.30380103993587e-123	234241
2	536	roadmap_epigenomics	122.104831875557	2.9732880050131	3199	19	95	587	587	234	1730	1225	1970	roadmap_epigenomics H3K4me1	NA	NA	H3K4me1	NA	NA	E059-H3K4me1.narrowPeak	8.82161054499604e-121	104649
