userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	24	McCole_3d_data	8.69792721144588	1.23463325733112	3770	6	7	9	9	7.33	3886	2362	3006	Rao_NHEK_Domain	NA	NA	NA	NA	NA	Rao_NHEK_Domain.bed	5.64991347911794e-09	4835
1	7	McCole_3d_data	5.15728832435473	1.30077578831757	5618	7	6	2	7	5	6159	514	733	Dixon_hESC_Domain	NA	NA	NA	NA	NA	Dixon_hESC_Domain.bed	0.0000179842414011884	1301
1	18	McCole_3d_data	0.786407896197011	1.04497367386122	4926	8	8	4	8	6.67	5488	1206	1404	Rao_IMR90_Domain	NA	NA	NA	NA	NA	Rao_IMR90_Domain.bed	0.327055983872351	3810
1	25	McCole_3d_data	0.0317123534998733	0.937962701213278	1179	9	9	23	23	13.7	1395	4953	5497	Rao_NHEK_Loop_anchor	NA	NA	NA	NA	NA	Rao_NHEK_Loop_anchor.bed	1	7435
1	20	McCole_3d_data	0.016012220062569	0.929807134468955	4607	10	10	6	10	8.67	5270	1525	1622	Rao_K562_Domain	NA	NA	NA	NA	NA	Rao_K562_Domain.bed	1	3167
1	6	McCole_3d_data	0.00876336399775314	0.88653750181181	5509	11	11	3	11	8.33	6264	623	628	Dixon_IMR90_Domain	NA	NA	NA	NA	NA	Dixon_IMR90_Domain.bed	1	1194
1	8	McCole_3d_data	0.000582326100039572	0.45540967998602	6095	12	30	1	30	14.3	6873	37	19	Human_pooled_domains	NA	NA	NA	NA	NA	Human_pooled_domains.bed	1	293
1	23	McCole_3d_data	0.000295761428999234	0.850013172194159	781	13	13	28	28	18	1010	5351	5882	Rao_KBM7_Loop_anchor	NA	NA	NA	NA	NA	Rao_KBM7_Loop_anchor.bed	1	4279
1	16	McCole_3d_data	0.0000558772696513498	0.878239953137551	3523	14	12	11	14	12.3	4176	2609	2716	Rao_HeLa_Domain	NA	NA	NA	NA	NA	Rao_HeLa_Domain.bed	1	3481
1	17	McCole_3d_data	0.000000107940456345673	0.787013805988736	890	15	16	27	27	19.3	1223	5242	5669	Rao_HeLa_Loop_anchor	NA	NA	NA	NA	NA	Rao_HeLa_Loop_anchor.bed	1	5020
1	12	McCole_3d_data	3.97014389623429e-10	0.810076902643491	2957	16	14	16	16	15.3	3686	3175	3206	Rao_HMEC_Domain	NA	NA	NA	NA	NA	Rao_HMEC_Domain.bed	1	3567
1	14	McCole_3d_data	9.96396176464947e-12	0.790301320479517	3501	17	15	12	17	14.7	4324	2631	2568	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	1	3385
1	11	McCole_3d_data	5.62588643990832e-12	0.771418366208015	1577	18	18	20	20	18.7	2135	4555	4757	Rao_GM12878_Loop_anchor	NA	NA	NA	NA	NA	Rao_GM12878_Loop_anchor.bed	1	12903
1	15	McCole_3d_data	3.41950519641142e-12	0.7421747292245	1059	19	19	26	26	21.3	1513	5073	5379	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	1	6161
1	22	McCole_3d_data	3.05363935559837e-12	0.77214804367276	4132	20	17	8	20	15	5017	2000	1875	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	1	3269
1	21	McCole_3d_data	4.82163733276644e-16	0.724032982084006	1330	21	22	22	22	21.7	1907	4802	4985	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1	8436
1	10	McCole_3d_data	0	0.560304472735548	4714	22	28	5	28	18.3	5898	1418	994	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	1	4533
1	9	McCole_3d_data	0	0.72474620681194	2930	22	21	17	22	20	3846	3202	3046	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	1	18331
1	19	McCole_3d_data	0	0.658054740733236	1412	22	26	21	26	23	2154	4720	4738	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	1	11459
1	13	McCole_3d_data	0	0.672030526239266	1096	22	24	25	25	23.7	1686	5036	5206	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	1	8202
2	10	McCole_3d_data	37.0971884628559	1.78838946412678	6028	4	4	4	4	4	4584	1022	1390	Rao_GM12878_Domain	NA	NA	NA	NA	NA	Rao_GM12878_Domain.bed	7.08117270441873e-37	4533
2	19	McCole_3d_data	22.6969760803525	1.48410976409062	2181	5	6	19	19	10	1385	4869	4589	Rao_IMR90_Loop_anchor	NA	NA	NA	NA	NA	Rao_IMR90_Loop_anchor.bed	1.24570615171529e-22	11459
2	9	McCole_3d_data	17.9842870439516	1.36213177255857	3917	8	10	17	17	11.7	2859	3133	3115	Pooled_loop_anchors	NA	NA	NA	NA	NA	Pooled_loop_anchors.bed	4.94494303824454e-18	18331
2	13	McCole_3d_data	17.2360916974769	1.4503581545071	1705	9	8	22	22	13	1077	5345	4897	Rao_HMEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HMEC_Loop_anchor.bed	2.57141371735475e-17	8202
2	21	McCole_3d_data	13.5649659044609	1.36202762879778	1937	11	11	21	21	14.3	1300	5113	4674	Rao_K562_Loop_anchor	NA	NA	NA	NA	NA	Rao_K562_Loop_anchor.bed	1.05512958961596e-13	8436
2	22	McCole_3d_data	10.1686498714684	1.2806259569744	5120	12	14	8	14	11.3	4029	1930	1945	Rao_KBM7_Domain	NA	NA	NA	NA	NA	Rao_KBM7_Domain.bed	2.47339168613661e-10	3269
2	15	McCole_3d_data	10.0878054366458	1.33037183733844	1537	13	13	24	24	16.7	1035	5513	4939	Rao_HUVEC_Loop_anchor	NA	NA	NA	NA	NA	Rao_HUVEC_Loop_anchor.bed	2.81393296836992e-10	6161
2	14	McCole_3d_data	9.85315539734732	1.25493800787565	4412	14	16	14	16	14.7	3413	2638	2561	Rao_HUVEC_Domain	NA	NA	NA	NA	NA	Rao_HUVEC_Domain.bed	4.5759649701944e-10	3385
