userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	qValue	size
1	3	ATAC_peaks	0	0.733692443478492	5051	22	22	10	22	18	6007	3491	3046	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	1	68236
1	5	ATAC_peaks	0	0.69421418365161	6250	22	25	7	25	18	7216	2292	1837	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	1	127090
1	1	ATAC_peaks	0	0.706325638353583	4923	22	24	13	24	19.7	5959	3619	3094	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1	85631
1	4	ATAC_peaks	0	0.599850153209282	4630	22	28	15	28	21.7	6008	3912	3045	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1	47203
1	2	ATAC_peaks	0	0.555621629143325	4841	22	30	14	30	22	6354	3701	2699	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	1	48574
2	2	ATAC_peaks	63.9621168369143	1.70570773904343	6563	2	3	9	9	4.67	4632	2904	3496	HeLa ATAC peaks	NA	NA	NA	NA	NA	HeLa.bed	2.25503661478857e-63	48574
2	4	ATAC_peaks	46.9988814393178	1.5657062855906	6192	3	4	11	11	6	4446	3275	3682	K562 ATAC peaks	NA	NA	NA	NA	NA	K562.bed	1.55399729625692e-46	47203
2	1	ATAC_peaks	18.7285694588188	1.32157344389096	6143	6	9	12	12	9	4739	3324	3389	GM12878 ATAC peaks	NA	NA	NA	NA	NA	GM12878.bed	1.05300284732414e-18	85631
2	5	ATAC_peaks	18.1926252569625	1.3694600395785	7493	7	7	6	7	6.67	5973	1974	2155	hESC ATAC peaks	NA	NA	NA	NA	NA	hESC.bed	3.31577602094346e-18	127090
2	3	ATAC_peaks	15.5377667848094	1.28869016617232	6209	8	10	10	10	9.33	4849	3258	3279	IMR90 ATAC peaks	NA	NA	NA	NA	NA	IMR90.bed	1.38255224698892e-15	68236
