"Characteristic","Total","Duplicates","Singletons","Overall_P","Omnibus_effect","Low_vs_high_P","Low_vs_high_effect"
"Gene length (bp), median (IQR)","4514.0 (2692.0 - 7044.0)","3011.0 (1549.0 - 5131.0)","4789.0 (2926.0 - 7344.0)","< 0.001","ε² = 0.04","< 0.001","-0.34 (-0.36 to -0.32)"
"Transcript length (bp), median (IQR)","3101.0 (1923.0 - 4954.0)","2301.0 (1269.0 - 3824.0)","3264.5 (2035.0 - 5122.2)","< 0.001","ε² = 0.03","< 0.001","-0.27 (-0.30 to -0.25)"
"CDS Length, median (IQR)","1284.0 (807.0 - 2091.0)","1047.0 (765.0 - 1596.0)","1335.0 (816.0 - 2184.0)","< 0.001","ε² = 0.01","< 0.001","-0.17 (-0.20 to -0.15)"
"CDS/Transcript Length ratio, median (IQR)","0.5 (0.3 - 0.7)","0.5 (0.3 - 0.7)","0.5 (0.3 - 0.7)","< 0.001","ε² = 0.01","< 0.001","0.13 (0.10 to 0.15)"
"Protein size (aa), median (IQR)","427.0 (268.0 - 696.0)","348.0 (254.0 - 531.0)","444.0 (271.0 - 727.0)","< 0.001","ε² = 0.01","< 0.001","-0.17 (-0.20 to -0.15)"
"Transcript count, median (IQR)","6.0 (3.0 - 11.0)","3.0 (2.0 - 7.0)","7.0 (3.0 - 11.0)","< 0.001","ε² = 0.05","< 0.001","-0.36 (-0.38 to -0.34)"
"Exon Counts, median (IQR)","8.0 (4.0 - 14.0)","5.0 (2.0 - 9.0)","9.0 (5.0 - 15.0)","< 0.001","ε² = 0.05","< 0.001","-0.36 (-0.38 to -0.34)"
"Intron Counts, median (IQR)","7.0 (3.0 - 13.0)","4.0 (1.0 - 8.0)","8.0 (4.0 - 14.0)","< 0.001","ε² = 0.05","< 0.001","-0.36 (-0.38 to -0.34)"
"GC content, median (IQR)","45.1 (40.0 - 52.4)","45.0 (40.2 - 51.0)","45.2 (40.0 - 52.6)","0.014","ε² = 0.00","0.014","-0.03 (-0.05 to -0.01)"
"Number of SNPs (Gene), median (IQR)","6216.0 (2439.0 - 15338.0)","2995.0 (1173.0 - 7420.0)","6970.5 (2803.0 - 16911.8)","< 0.001","ε² = 0.04","< 0.001","-0.34 (-0.36 to -0.32)"
"Number of SNPs (Transcript), median (IQR)","5204.5 (2062.0 - 12925.2)","2549.0 (1044.0 - 5913.0)","5856.0 (2378.0 - 14340.0)","< 0.001","ε² = 0.05","< 0.001","-0.35 (-0.38 to -0.33)"
"dN/dS ratio mouse, median (IQR)","0.1 (0.0 - 0.2)","0.1 (0.1 - 0.2)","0.1 (0.0 - 0.2)","< 0.001","ε² = 0.00","< 0.001","0.13 (0.09 to 0.16)"
"dN/dS ratio Chimp, median (IQR)","0.3 (0.1 - 0.5)","0.4 (0.2 - 0.7)","0.3 (0.1 - 0.5)","< 0.001","ε² = 0.01","< 0.001","0.19 (0.16 to 0.22)"
"dN/dS ratio Gorilla, median (IQR)","0.3 (0.1 - 0.5)","0.4 (0.2 - 0.6)","0.3 (0.1 - 0.5)","< 0.001","ε² = 0.01","< 0.001","0.18 (0.15 to 0.20)"
"Missense/Synonymous ratio, median (IQR)","2.1 (1.8 - 2.4)","2.2 (2.0 - 2.5)","2.1 (1.8 - 2.3)","< 0.001","ε² = 0.02","< 0.001","0.24 (0.21 to 0.26)"
"Nonsense/Synonymous ratio, median (IQR)","0.1 (0.0 - 0.1)","0.1 (0.1 - 0.1)","0.1 (0.0 - 0.1)","< 0.001","ε² = 0.03","< 0.001","0.28 (0.25 to 0.30)"
"GES, median (IQR)","0.0 (-0.0 - 0.1)","0.0 (-0.1 - 0.1)","0.0 (-0.0 - 0.2)","< 0.001","ε² = 0.01","< 0.001","-0.20 (-0.22 to -0.17)"
"LOEUF_class: Intolerant, n (%)","3,023 (18.2%)","151 (6.3%)","2,872 (20.3%)","< 0.001","V = 0.13","< 0.001","0.26 (0.22 to 0.31)"
"LOEUF_class: Tolerant, n (%)","13,559 (81.8%)","2,252 (93.7%)","11,307 (79.7%)","< 0.001","V = 0.13","< 0.001","3.79 (3.19 to 4.52)"
"pLI_class: Intolerant, n (%)","2,236 (13.5%)","106 (4.4%)","2,130 (15.0%)","< 0.001","V = 0.11","< 0.001","0.26 (0.21 to 0.32)"
"pLI_class: Intermediate, n (%)","3,580 (21.6%)","604 (25.1%)","2,976 (21.0%)","< 0.001","V = 0.11","< 0.001","1.26 (1.14 to 1.40)"
"pLI_class: Tolerant, n (%)","10,766 (64.9%)","1,693 (70.5%)","9,073 (64.0%)","< 0.001","V = 0.11","< 0.001","1.34 (1.22 to 1.48)"
"GES_class: Essentialty, n (%)","791 (4.8%)","20 (0.9%)","771 (5.5%)","< 0.001","V = 0.08","< 0.001","0.15 (0.09 to 0.23)"
"GES_class: Non_Essentialty, n (%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","< 0.001","V = 0.08",NA,NA
"ifspecific: Specific, n (%)","4,479 (26.5%)","958 (45.8%)","3,521 (23.8%)","< 0.001","V = 0.16","< 0.001","2.70 (2.46 to 2.97)"
"ifspecific: Non_specific, n (%)","12,397 (73.5%)","1,134 (54.2%)","11,263 (76.2%)","< 0.001","V = 0.16","< 0.001","0.37 (0.34 to 0.41)"
