chromosome_name,start_position,end_position,strand,hgnc_symbol,ensembl_gene_id
16,29543201,29613723,-1,"",ENSG00000279583
16,29613103,29613640,-1,SLC7A5P1,ENSG00000260727
16,29614406,29664795,-1,"",ENSG00000305172
16,29618785,29636328,-1,CA5AP1,ENSG00000260133
16,29624517,29624825,1,"",ENSG00000260514
16,29662979,29670876,1,SPN,ENSG00000197471
16,29663279,29698704,1,QPRT,ENSG00000103485
16,29709156,29716490,1,"",ENSG00000289181
16,29731051,29731404,-1,RN7SKP127,ENSG00000222375
16,29735772,29736924,-1,"",ENSG00000306882
16,29742463,29745990,-1,C16orf54,ENSG00000185905
16,29745247,29749644,1,"",ENSG00000260719
16,29746233,29746465,1,"",ENSG00000293832
16,29777882,29783272,1,ZG16,ENSG00000174992
16,29782870,29785379,-1,"",ENSG00000298198
16,29785078,29785884,1,"",ENSG00000298222
16,29790718,29805388,1,KIF22,ENSG00000079616
16,29804428,29805501,-1,"",ENSG00000275857
16,29806106,29811164,1,MAZ,ENSG00000103495
16,29806496,29807732,-1,"",ENSG00000259952
16,29808636,29821252,-1,MVP-DT,ENSG00000238045
16,29808679,29812227,1,"",ENSG00000280607
16,29811382,29815892,1,PRRT2,ENSG00000167371
16,29812261,29820092,1,"",ENSG00000280893
16,29816152,29822489,1,PAGR1,ENSG00000280789
16,29817239,29830627,1,"",ENSG00000281348
16,29820394,29848039,1,MVP,ENSG00000013364
16,29858357,29863414,-1,CDIPT,ENSG00000103502
16,29862760,29863417,1,"",ENSG00000278713
16,29863548,29868055,1,CDIPTOSP,ENSG00000293487
16,29864308,29865442,1,CDIPTOSP,ENSG00000214725
16,29871159,29899550,-1,SEZ6L2,ENSG00000174938
16,29900375,29919864,1,ASPHD1,ENSG00000174939
16,29905012,29926236,-1,KCTD13,ENSG00000174943
16,29913144,29915337,-1,"",ENSG00000279789
16,29926836,29928933,1,KCTD13-DT,ENSG00000247735
16,29940885,29973052,1,TMEM219,ENSG00000149932
16,29973047,29973559,-1,"",ENSG00000305284
16,29973868,29992261,1,TAOK2,ENSG00000149930
16,29992330,29996120,-1,HIRIP3,ENSG00000149929
16,29995715,30005793,1,INO80E,ENSG00000169592
16,30005507,30023270,-1,DOC2A,ENSG00000149927
16,30023198,30027736,1,C16orf92,ENSG00000167194
16,30024426,30052978,-1,TLCD3B,ENSG00000149926
16,30053123,30070414,1,"",ENSG00000285043
16,30064164,30070457,1,ALDOA,ENSG00000149925
16,30064306,30064825,-1,"",ENSG00000274904
16,30075967,30085385,1,PPP4C,ENSG00000149923
16,30085793,30091933,-1,TBX6,ENSG00000149922
16,30092314,30096915,-1,YPEL3,ENSG00000090238
16,30096363,30105193,1,YPEL3-DT,ENSG00000250616
16,30104810,30113537,-1,GDPD3,ENSG00000102886
16,30107675,30110541,1,"",ENSG00000261367
16,30110895,30111955,1,"",ENSG00000275371
16,30112301,30114904,1,"",ENSG00000300821
16,30114105,30123506,-1,MAPK3,ENSG00000102882
16,30182817,30189085,1,CORO1A,ENSG00000102879
16,30183505,30184957,-1,CORO1A-AS1,ENSG00000261416
16,30192930,30194306,-1,BOLA2B,ENSG00000169627
16,30193875,30197566,1,SLX1A,ENSG00000132207
16,30193892,30204310,1,SLX1A-SULT1A3,ENSG00000213599
16,30198059,30204324,1,SULT1A3,ENSG00000261052
17,43483865,43610338,1,DHX8,ENSG00000067596
17,43589340,43614195,1,"",ENSG00000297964
17,43607436,43607723,-1,"",ENSG00000278109
17,43640389,43661922,-1,MEOX1,ENSG00000005102
17,43669233,43674457,1,"",ENSG00000305227
17,43671165,43690795,-1,"",ENSG00000305211
17,43679341,43706709,1,LINC02594,ENSG00000267440
17,43697868,43701645,-1,"",ENSG00000297747
17,43718314,43720436,-1,WHSC1L2P,ENSG00000267253
17,43719890,43720715,1,"",ENSG00000294500
17,43753738,43758791,-1,SOST,ENSG00000167941
17,43766121,43779000,-1,DUSP3,ENSG00000108861
17,43780435,43787620,1,CFAP97D1,ENSG00000231256
17,43782804,43784682,-1,CFAP97D1-AS1,ENSG00000267604
17,43800799,43833170,-1,MPP3,ENSG00000161647
17,43833662,43846670,1,"",ENSG00000302186
17,43847114,43863639,1,CD300LG,ENSG00000161649
17,43875357,43909711,-1,MPP2,ENSG00000108852
17,43914374,43923001,-1,"",ENSG00000282199
17,43917194,43921042,1,FAM215A,ENSG00000267496
17,43922775,43927388,-1,"",ENSG00000267166
17,43926845,43950464,1,LINC01976,ENSG00000261514
17,43927435,43928459,-1,"",ENSG00000296728
17,43940804,43944144,-1,PPY,ENSG00000108849
17,43952733,44004469,-1,PYY,ENSG00000131096
17,44004581,44011028,1,NAGS,ENSG00000161653
17,44011188,44023946,-1,TMEM101,ENSG00000091947
17,44014418,44019706,1,"",ENSG00000305936
17,44025020,44025223,-1,"",ENSG00000221044
17,44034328,44067619,-1,LSM12,ENSG00000161654
17,44070620,44082151,1,G6PC3,ENSG00000141349
17,44076746,44123702,-1,HDAC5,ENSG00000108840
17,44115912,44120595,1,"",ENSG00000267638
17,44123821,44124419,1,"",ENSG00000300394
17,44135883,44135989,-1,RNU6-131P,ENSG00000212446
17,44141903,44162481,1,HROB,ENSG00000125319
17,44157293,44187180,-1,ASB16-AS1,ENSG00000267080
17,44170447,44179084,1,ASB16,ENSG00000161664
17,44181847,44182358,1,"",ENSG00000298495
17,44185265,44186728,1,"",ENSG00000298482
17,44186966,44191931,1,TMUB2,ENSG00000168591
17,44191805,44200961,-1,ATXN7L3,ENSG00000087152
17,44198520,44234868,1,ATXN7L3-AS1,ENSG00000267394
17,44205033,44221626,-1,UBTF,ENSG00000108312
17,44207771,44207839,-1,MIR6782,ENSG00000275107
17,44221630,44222157,-1,"",ENSG00000288877
17,44228760,44230228,-1,SHC1P2,ENSG00000267691
17,44248390,44268141,-1,SLC4A1,ENSG00000004939
17,44266142,44266644,-1,"",ENSG00000302447
17,44268365,44268947,1,"",ENSG00000302132
17,44276368,44281787,-1,"",ENSG00000285486
17,44290856,44291151,-1,RN7SL507P,ENSG00000239702
17,44299567,44315515,-1,RUNDC3A-AS1,ENSG00000267750
17,44303965,44304203,1,"",ENSG00000221496
17,44307088,44307172,1,RNU6-453P,ENSG00000252628
17,44307947,44318675,1,RUNDC3A,ENSG00000108309
17,44319625,44325801,-1,SLC25A39,ENSG00000013306
17,44324359,44327576,1,"",ENSG00000288961
17,44328613,44331462,1,"",ENSG00000267211
17,44345108,44353106,1,GRN,ENSG00000030582
17,44353215,44363868,-1,FAM171A2,ENSG00000161682
17,44365014,44365751,-1,RPL7L1P5,ENSG00000267634
17,44372177,44389649,-1,ITGA2B,ENSG00000005961
17,44395281,44503595,-1,GPATCH8,ENSG00000186566
17,44409059,44409358,-1,RN7SL258P,ENSG00000240589
17,44486153,44486815,-1,"",ENSG00000283045
22,18605355,18605497,1,"",ENSG00000274625
22,18605802,18606102,-1,RN7SKP131,ENSG00000222630
22,18605815,18611919,-1,RIMBP3,ENSG00000275793
22,18615581,18615900,1,"",ENSG00000275362
22,18623339,18625289,-1,SUSD2P2,ENSG00000278110
22,18633984,18634682,1,FAM246B,ENSG00000286175
22,18634776,18635386,1,"",ENSG00000302720
22,18636445,18638405,-1,CA15P2,ENSG00000273907
22,18650023,18653617,-1,PPP1R26P2,ENSG00000273643
22,18715815,18719341,1,PPP1R26P4,ENSG00000278008
22,18727548,18730085,-1,"",ENSG00000309872
22,18733724,18757906,1,FAM230E,ENSG00000182824
22,18738233,18739420,-1,"",ENSG00000298191
22,18758532,18769809,-1,"",ENSG00000297197
22,18773659,18858648,-1,"",ENSG00000290711
22,18773825,18791223,-1,GGT3P,ENSG00000197421
22,18794414,18794804,-1,"",ENSG00000239989
22,18803738,18813169,1,"",ENSG00000302582
22,18833694,18834438,1,E2F6P1,ENSG00000234764
22,18846472,18864414,1,"",ENSG00000293159
22,18846477,18848379,-1,"",ENSG00000302604
22,18846932,18848320,1,POM121L15P,ENSG00000161103
22,18855621,18858640,-1,BCRP7,ENSG00000215544
22,18865042,18871095,-1,"",ENSG00000307221
22,18873543,18896777,-1,FAM230F,ENSG00000276095
22,18883615,18884736,1,"",ENSG00000299619
22,18905677,18914281,1,DGCR6,ENSG00000183628
22,18906238,18947732,1,"",ENSG00000283809
22,18912774,18936553,-1,PRODH,ENSG00000100033
22,18936411,18947741,1,"",ENSG00000284294
22,18951934,18959512,-1,"",ENSG00000280418
22,18969692,19031242,1,DGCR5,ENSG00000273032
22,18980695,18981325,-1,"",ENSG00000283583
22,18985836,18994501,1,CELSR1P1,ENSG00000237517
22,18996940,18998733,-1,"",ENSG00000302076
22,18997138,18997595,-1,"",ENSG00000271275
22,19014353,19014506,1,"",ENSG00000283366
22,19018043,19018916,-1,"",ENSG00000270393
22,19029524,19031242,1,FAM246C,ENSG00000286025
22,19031564,19034564,-1,CA15P1,ENSG00000241527
22,19032247,19033090,-1,"",ENSG00000298261
22,19036280,19122461,-1,DGCR2,ENSG00000070413
22,19045256,19045367,1,"",ENSG00000206739
22,19046162,19048375,-1,DGCR11,ENSG00000273311
22,19055801,19056512,1,RPL28P6,ENSG00000237347
22,19061041,19061843,-1,"",ENSG00000281530
22,19121464,19135657,1,"",ENSG00000223461
22,19124309,19128449,-1,"",ENSG00000272682
22,19124879,19125646,1,TSSK1A,ENSG00000231086
22,19130279,19144684,-1,ESS2,ENSG00000100056
22,19131308,19132622,1,TSSK2,ENSG00000206203
22,19146993,19150292,-1,GSC2,ENSG00000063515
22,19170452,19171631,-1,"",ENSG00000289481
22,19171395,19185045,1,LINC01311,ENSG00000260924
22,19175575,19178788,-1,SLC25A1,ENSG00000100075
22,19179320,19291774,-1,CLTCL1,ENSG00000070371
22,19196402,19200083,1,"",ENSG00000286367
22,19238443,19238739,-1,RPL34P35,ENSG00000230194
22,19249873,19249966,1,"",ENSG00000251940
22,19257520,19258806,1,KRT18P62,ENSG00000233471
22,19291969,19328901,1,"",ENSG00000287146
22,19330693,19447450,-1,HIRA,ENSG00000100084
22,19351368,19447711,-1,C22orf39,ENSG00000242259
22,19365766,19366044,1,RN7SL168P,ENSG00000244296
22,19432467,19436077,1,MRPL40,ENSG00000185608
