gene,ensemblid,chr,pm_ld,age_stage4,age_stage7,age_stage4_num,age_stage7_num,age_stage7_mya,age_genetree_num,age_phylos_num,age_protein_num,gene_age_num,Gene length (bp),CDS Length,CDS/Transcript Length ratio,Transcript length (bp),Protein size (aa),Transcript count,GC content,Number of SNPs (Gene),Exon Counts,Intron Counts,Number of SNPs (Transcript),LOEUF,pLI,Missense/Synonymous ratio,Nonsense/Synonymous ratio,Mouse dS value,Chimp dS value,Gorilla dS value,pLI_class,LOEUF_class,dN/dS ratio mouse,dN/dS ratio Chimp,dN/dS ratio Gorilla,pm_pleio3,pm_pleio5,pm10,pm100,group_id,ifhsd2,pn_ld,pn_pleio3,pn_pleio5,pn10,pn100,cis_egene,cis_sgene,trans_egene,iftf,tf_sum,tau,ogee_connectivity,enhancer_n,po_pergene,essential_score,GES,GES_class,ifspecific,pn_ld_clumped_snps,pn_mean_maf,pn_median_maf,pm_ld_clumped_snps,pm_mean_maf,pm_median_maf,high_pn,high_pm,length_bin,snp_bin,ld_bin,maf_bin,Euteleostomi,Eutheria
A1BG,ENSG00000121410,19,5.74770003357145,Eutheria,Eutheria,4,6,99,6,12,12,382,4006,1488,0.864111498,1722,495,5,55.83,2230,8,7,1897,1.312,6.12166667847067e-08,2.030456853,0.07106599,1.4646,0.035,0.0544,Tolerant,Tolerant,0.31544449,0.328571429,0.299632353,Low pleiotropy,1st,2,16,,Singletons,6.88278531231084,Low pleiotropy,1st,1,8,TRUE,TRUE,FALSE,FALSE,3,0.781699265,78,3,1,-0.0734346342143991,0.0734346342143991,Non_essentialty,Non_specific,1,0.48891,0.48891,1,0.495786,0.495786,FALSE,FALSE,"(3.74e+03,5.4e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.353,0.5]",FALSE,TRUE
A1CF,ENSG00000148584,10,6.35161375471605,Euteleostomi,Euteleostomi,1,1,429,1,,2,544,9603,1809,0.190080908,9517,602,10,36.24,16263,15,14,16260,0.8383,0.00033722919419748,2.109195402,0.132183908,0.578,0.0629,0.0064,Tolerant,Tolerant,0.115224913,0.502384738,0.234375,Intermediate pleiotropy,4th,7,62,,Singletons,10.5427132315275,Intermediate pleiotropy,4th,7,70,FALSE,FALSE,FALSE,FALSE,9,0.945660211,7,3,6,-0.0777393025760099,0.0777393025760099,Non_essentialty,Specific,3,0.161198233333333,0.17893,3,0.160996566666667,0.178325,FALSE,FALSE,"(7.81e+03,1.19e+05]","(8.75e+03,1.93e+04]","(2,3]","(0.152,0.243]",TRUE,FALSE
A3GALT2,ENSG00000184389,1,7.14861091693412,Eutheria,Eutheria,4,6,99,6,1,7,132,1023,1023,1,1023,340,1,54.19,3417,5,4,3417,1.529,1.0169e-06,2.30952381,0.182539683,0.8256,0.0054,0.0275,Tolerant,Tolerant,0.241642442,1.351851852,0.443636364,High pleiotropy,5th,9,84,,Singletons,12.5453083455079,High pleiotropy,5th,9,88,TRUE,FALSE,FALSE,FALSE,3,1,1,29,30,-0.13025417088749,0.13025417088749,Non_essentialty,Specific,1,0.308168,0.308168,1,0.323917,0.323917,TRUE,TRUE,"[211,2.35e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.243,0.353]",FALSE,TRUE
A4GALT,ENSG00000128274,22,7.74365773114112,Tetrapoda,Tetrapoda,2,2,352,2,1,2,424,3358,1062,0.457561396,2321,353,7,52.39,6879,2,1,964,1.393,0.075507,1.77245509,0.095808383,1.2774,0.0262,0.06,Tolerant,Tolerant,0.091200877,0.041984733,0.075,High pleiotropy,5th,10,91,,Singletons,9.12220967121162,Intermediate pleiotropy,3rd,5,45,TRUE,FALSE,FALSE,FALSE,18,0.296211616,7,36,57,-0.0756461536836202,0.0756461536836202,Non_essentialty,Non_specific,3,0.231552366666667,0.225002,2,0.17422955,0.17422955,FALSE,TRUE,"(2.35e+03,3.74e+03]","(4.34e+03,8.75e+03]","(2,3]","(0.152,0.243]",FALSE,FALSE
A4GNT,ENSG00000118017,3,5.73354716400646,Tetrapoda,Tetrapoda,2,2,352,2,1,8,544,1771,1023,0.577639752,1771,340,1,42.65,1752,3,2,1752,1.375,0.019136,2.378947368,0.063157895,0.7876,0.0478,0.0442,Tolerant,Tolerant,0.214702895,0.135983264,0.180995475,Low pleiotropy,1st,2,15,,Singletons,9.17078278113092,Intermediate pleiotropy,3rd,5,46,FALSE,FALSE,FALSE,FALSE,3,0.979507583,15,9,8,0.00700214379052922,-0.00700214379052922,Non_essentialty,Specific,1,0.321258,0.321258,1,0.321258,0.321258,FALSE,FALSE,"[211,2.35e+03]","[1,1.92e+03]","[1,2]","(0.243,0.353]",FALSE,FALSE
AAAS,ENSG00000094914,12,6.07290486463383,Euteleostomi,Euteleostomi,1,1,429,1,1,2,1064,4122,1641,0.904132231,1815,546,20,49.4,4001,16,15,3426,0.945888888888889,9.10382830283597e-06,2.423312883,0.134969325,0.4796,0.0093,0.0143,Tolerant,Tolerant,0.07235196,0.182795699,0.314685315,Intermediate pleiotropy,3rd,5,44,,Singletons,9.00014896944902,Intermediate pleiotropy,3rd,5,43,FALSE,FALSE,FALSE,FALSE,16,0.18695557,137,51,18,-0.0816270041521981,0.0816270041521981,Non_essentialty,Non_specific,2,0.173864,0.173864,2,0.1736885,0.1736885,FALSE,FALSE,"(3.74e+03,5.4e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.152,0.243]",TRUE,FALSE
AACS,ENSG00000081760,12,5.8523985092112,Euteleostomi,Euteleostomi,1,1,429,1,1,1,1292,16039,2019,0.620085995,3256,672,12,51.2,16738,18,17,16735,0.9814,5.75174702e-15,2.28436019,0.066350711,1.0231,0.0074,0.0265,Tolerant,Tolerant,0.048480109,0.189189189,0.139622642,Intermediate pleiotropy,2nd,3,25,,Singletons,7.85823927373863,Low pleiotropy,1st,2,20,TRUE,FALSE,FALSE,FALSE,13,0.340838203,11,25,24,-0.0232122951166529,0.0232122951166529,Non_essentialty,Non_specific,3,0.1549929,0.132142,2,0.20383835,0.20383835,FALSE,FALSE,"(7.81e+03,1.19e+05]","(8.75e+03,1.93e+04]","(2,3]","(0.0795,0.152]",TRUE,FALSE
AADAC,ENSG00000114771,3,5.56244721955961,Amniota,Amniota,3,3,319,3,1,1,950,1632,1200,0.767754319,1563,399,2,35.3,2823,5,4,2815,1.12275,0.0020639075,2.3125,0.098214286,1.1415,0.0077,0.0139,Tolerant,Tolerant,0.183092422,0.493506494,0.352517986,Low pleiotropy,1st,1,6,195,Duplicates,7.38390232381855,Low pleiotropy,1st,2,13,FALSE,FALSE,FALSE,FALSE,7,0.860083784,,24,8,0.125767458833567,-0.125767458833567,Non_essentialty,Specific,1,0.23107,0.23107,1,0.23107,0.23107,FALSE,FALSE,"[211,2.35e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.152,0.243]",FALSE,FALSE
AADACL2,ENSG00000197953,3,5.48058922284231,Amniota,Theria,3,5,160,5,,2,332,5071,1206,0.811028917,1487,401,2,35.3,5375,5,4,4670,1.54033333333333,6.94391333333333e-07,2.418181818,0.218181818,0.7194,0.0098,0.0194,Tolerant,Tolerant,0.161245482,0.234693878,0.298969072,Low pleiotropy,1st,1,4,195,Duplicates,7.73732416337358,Low pleiotropy,1st,2,18,FALSE,FALSE,FALSE,FALSE,12,0.997518651,,3,11,-0.013658213693008,0.013658213693008,Non_essentialty,Specific,3,0.1627998,0.209055,2,0.1518272,0.1518272,FALSE,FALSE,"(3.74e+03,5.4e+03]","(4.34e+03,8.75e+03]","(2,3]","(0.152,0.243]",FALSE,FALSE
AADACL3,ENSG00000188984,1,5.64719633301492,Amniota,Amniota,3,3,319,3,,1,332,4055,1224,0.301849568,4055,407,2,46.11,2782,4,3,2782,1.25,0.0017704,2.107692308,0.061538462,0.8936,0.0193,0.0256,Tolerant,Tolerant,0.337287377,0.497409326,0.89453125,Low pleiotropy,1st,1,9,8,Duplicates,8.94999768372378,Intermediate pleiotropy,3rd,5,42,FALSE,FALSE,FALSE,FALSE,,1,,5,21,0.0716403875416818,-0.0716403875416818,Non_essentialty,Specific,2,0.1222453,0.1222453,2,0.1217593,0.1217593,FALSE,FALSE,"(3.74e+03,5.4e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.0795,0.152]",FALSE,FALSE
